"","Cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"1","AcB2","GO:0015986","proton motive force-driven ATP synthesis","16/103","76/18614",1.89164314348244e-21,3.81355257726059e-18,3.39699284503267e-18,"514/517/10632/513/518/506/522/521/9551/515/498/509/516/10476/539/527",16
"8","AcB2","GO:1902600","proton transmembrane transport","16/103","143/18614",7.93924081614848e-17,2.00068868566942e-14,1.78215063583544e-14,"514/517/10632/513/518/506/522/521/9551/515/498/509/516/10476/539/527",16
"11","AcB2","GO:0046034","ATP metabolic process","18/103","219/18614",2.0986393306101e-16,3.84623353682724e-14,3.42610401724482e-14,"514/517/10632/513/518/93974/506/522/521/9551/515/498/509/516/10476/539/527/2597",18
"15","AcB2","GO:0006119","oxidative phosphorylation","14/103","148/18614",8.11242469843663e-14,1.09030987946988e-11,9.7121379196722e-12,"514/10632/513/506/522/521/9551/515/498/509/10476/539/387/1337",14
"28","AcB2","GO:0048525","negative regulation of viral process","8/103","90/18614",3.55678589611075e-08,2.56088584519974e-06,2.28115666870862e-06,"8519/3669/4061/10581/6772/9636/7538/5478",8
"30","AcB2","GO:0021762","substantia nigra development","5/103","44/18614",4.30410494573794e-06,0.000289235852353589,0.000257642211839611,"522/515/387/60/801",5
"31","AcB2","GO:0051607","defense response to virus","10/103","303/18614",6.98819363983182e-06,0.000453158236230595,0.000403659122289785,"8519/3669/58515/10964/2537/10581/6772/9636/3665/3437",10
"32","AcB2","GO:0140546","defense response to symbiont","10/103","304/18614",7.19298787667611e-06,0.000453158236230595,0.000403659122289785,"8519/3669/58515/10964/2537/10581/6772/9636/3665/3437",10
"36","AcB2","GO:0035456","response to interferon-beta","4/103","32/18614",2.82223175643798e-05,0.00157917357147314,0.00140667821268441,"8519/10581/6772/54739",4
"37","AcB2","GO:0002181","cytoplasmic translation","7/103","159/18614",2.89828482859655e-05,0.00157917357147314,0.00140667821268441,"10399/6229/6175/6130/2197/6158/200916",7
"39","AcB2","GO:1902624","positive regulation of neutrophil migration","4/103","34/18614",3.60891182444491e-05,0.00186552980463614,0.00166175535020324,"9750/58515/972/5880",4
"44","AcB2","GO:1903706","regulation of hemopoiesis","10/103","415/18614",0.000101434709682117,0.00464755397088971,0.00413989508893998,"972/567/6772/9636/3665/9308/387/3106/60/7538",10
