"","Cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"1","AcB2","GO:0005753","mitochondrial proton-transporting ATP synthase complex","15/104","21/19518",1.45965009473119e-30,3.73670424251184e-28,2.93466492730165e-28,"514/517/10632/513/518/506/522/521/9551/515/498/509/516/10476/539",15
"7","AcB2","GO:1904949","ATPase complex","17/104","147/19518",2.46186000208901e-18,9.00337372192551e-17,7.07090617141354e-17,"514/517/10632/513/518/506/522/521/9551/515/498/509/516/10476/539/527/60",17
"12","AcB2","GO:0005925","focal adhesion","11/104","422/19518",1.5569061666793e-05,0.00030974809797535,0.000243264336814523,"567/5880/6175/6130/5216/527/387/60/7431/5478/71",11
"13","AcB2","GO:0022626","cytosolic ribosome","6/104","100/19518",1.57293956003108e-05,0.00030974809797535,0.000243264336814523,"10399/6229/6175/6130/2197/6158",6
"15","AcB2","GO:0045335","phagocytic vesicle","6/104","141/19518",0.000108444425320447,0.0018507848588023,0.0014535358060495,"567/5880/527/3106/7431/71",6
"22","AcB2","GO:0031252","cell leading edge","8/104","422/19518",0.00188826112412665,0.0219724930807465,0.0172563576415402,"9750/23526/5880/6282/83442/387/60/7431",8
"27","AcB2","GO:0044305","calyx of Held","2/104","19/19518",0.00453243253168375,0.0420443206151018,0.0330200050883406,"60/71",2
"29","AcB2","GO:0016363","nuclear matrix","4/104","127/19518",0.0047628331946795,0.0420443206151018,0.0330200050883406,"6281/60/7431/4000",4
"30","DN","GO:0005753","mitochondrial proton-transporting ATP synthase complex","15/121","21/19518",1.64397455654225e-29,4.07705690022477e-27,3.35716909441259e-27,"514/517/10632/513/518/9551/522/506/521/10476/515/516/509/498/539",15
"37","DN","GO:1904949","ATPase complex","16/121","147/19518",8.49319695798442e-16,2.63289105697517e-14,2.16800027611708e-14,"514/517/10632/513/518/9551/522/506/521/10476/515/516/509/498/539/527",16
"41","DN","GO:0044194","cytolytic granule","5/121","13/19518",1.04221501362512e-08,2.15391102815858e-07,1.77359397055503e-07,"3002/10578/4818/2999/5551",5
"42","DN","GO:0045335","phagocytic vesicle","5/121","141/19518",0.00186289473110019,0.0355382994856036,0.0292632856545293,"7431/567/10578/527/6890",5
"43","DN","GO:0001772","immunological synapse","3/121","43/19518",0.00239374398389338,0.0399365106054152,0.0328849026207579,"3002/3958/3001",3
"48","GCB","GO:0005753","mitochondrial proton-transporting ATP synthase complex","15/52","21/19518",1.39184668123906e-35,1.85115608604795e-33,1.40649769893631e-33,"10632/514/517/518/521/522/9551/506/498/513/515/509/10476/516/539",15
"54","GCB","GO:1904949","ATPase complex","15/52","147/19518",2.41939974357843e-20,4.59685951279903e-19,3.49266729900045e-19,"10632/514/517/518/521/522/9551/506/498/513/515/509/10476/516/539",15
"59","GCB","GO:0010494","cytoplasmic stress granule","4/52","85/19518",7.73271644097795e-05,0.000857042738875056,0.000651176121345512,"9802/5042/7538/1654",4
"61","GCB","GO:0031462","Cul2-RING ubiquitin ligase complex","2/52","24/19518",0.00185068056451971,0.0175814653629372,0.013358295804052,"6923/6921",2
"64","GCB","GO:0019867","outer membrane","4/52","238/19518",0.00369030167921848,0.0288711837256505,0.0219361585885433,"517/518/647087/5880",4
"68","IgM-only","GO:0005753","mitochondrial proton-transporting ATP synthase complex","11/20","21/19518",1.50794263888948e-29,9.04382765443237e-28,5.71189115016781e-28,"514/517/10632/521/513/539/518/498/9551/506/522",11
"69","IgM-only","GO:0045259","proton-transporting ATP synthase complex","11/20","22/19518",3.01460921814412e-29,9.04382765443237e-28,5.71189115016781e-28,"514/517/10632/521/513/539/518/498/9551/506/522",11
"71","IgM-only","GO:1904949","ATPase complex","11/20","147/19518",4.79256545770419e-19,7.18884818655629e-18,4.5403251704566e-18,"514/517/10632/521/513/539/518/498/9551/506/522",11
"80","Memory","GO:0005753","mitochondrial proton-transporting ATP synthase complex","15/118","21/19518",1.10226926221399e-29,3.09737662682132e-27,2.45980087988806e-27,"10632/517/514/513/521/506/518/9551/522/539/498/515/516/10476/509",15
"85","Memory","GO:1904949","ATPase complex","17/118","147/19518",2.29152912390706e-17,1.07319947302981e-15,8.522880250321e-16,"10632/517/514/513/521/506/518/9551/522/539/498/515/516/10476/509/60/57492",17
"93","Memory","GO:0005925","focal adhesion","10/118","422/19518",0.000245045056942537,0.00491840435720378,0.0039059813587833,"567/60/6175/7534/5094/5880/7431/387/4267/976",10
"95","Memory","GO:0012507","ER to Golgi transport vesicle membrane","4/118","63/19518",0.000574294120167383,0.0100860404854397,0.00800989167601877,"567/972/3118/3113",4
"96","Memory","GO:0098553","lumenal side of endoplasmic reticulum membrane","3/118","29/19518",0.000701779488301812,0.0116000021301652,0.00921221371640768,"972/3118/3113",3
"98","Memory","GO:0031252","cell leading edge","9/118","422/19518",0.00106357529089538,0.0157297187758738,0.012491853832123,"9750/23526/83442/60/6282/5880/7431/387/1654",9
