"","Cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"1","AcB2","GO:0046933","proton-transporting ATP synthase activity, rotational mechanism","13/105","18/18369",2.69589048759673e-26,7.52153446039488e-24,6.69715952708241e-24,"514/10632/513/506/522/521/9551/515/498/509/10476/539/527",13
"4","AcB2","GO:0016874","ligase activity","13/105","165/18369",1.05129260228486e-11,7.33276590093688e-10,6.5290803720849e-10,"514/10632/513/506/522/521/9551/515/498/509/10476/539/527",13
"9","AcB2","GO:0030547","signaling receptor inhibitor activity","4/105","42/18369",9.54614982065859e-05,0.00266337579996375,0.00237146458702677,"100463486/100463498/100462977/4061",4
"10","AcB2","GO:0042287","MHC protein binding","4/105","42/18369",9.54614982065859e-05,0.00266337579996375,0.00237146458702677,"506/498/972/10383",4
"12","AcB2","GO:0005200","structural constituent of cytoskeleton","5/105","111/18369",0.00043970378071473,0.0102231129016175,0.00910263967093652,"60/7431/71/10383/4000",5
"15","AcB2","GO:0008200","ion channel inhibitor activity","3/105","40/18369",0.00153761902535212,0.0285997138715495,0.0254651291216211,"10399/55013/801",3
"17","AcB2","GO:0001222","transcription corepressor binding","3/105","45/18369",0.00216319644022156,0.0355018709895186,0.0316107962781603,"6923/6772/6921",3
"18","AcB2","GO:0044389","ubiquitin-like protein ligase binding","7/105","320/18369",0.00241868560506251,0.0355766756558869,0.0316774022063358,"6923/6772/9636/9246/527/11337/71",7
"19","AcB2","GO:0050998","nitric-oxide synthase binding","2/105","13/18369",0.00242278436366255,0.0355766756558869,0.0316774022063358,"972/60",2
"21","AcB2","GO:0045296","cadherin binding","7/105","333/18369",0.00301767667864761,0.0400919901591754,0.0356978293814955,"10399/8407/6772/6282/6130/5216/1192",7
"22","DN","GO:0046933","proton-transporting ATP synthase activity, rotational mechanism","13/120","18/18369",1.68478809052062e-25,5.49240917509722e-23,4.69967204197857e-23,"514/10632/513/9551/522/506/521/10476/515/509/498/539/527",13
"25","DN","GO:0016874","ligase activity","13/120","165/18369",5.87345813331302e-11,4.78686837865011e-09,4.09596422454724e-09,"514/10632/513/9551/522/506/521/10476/515/509/498/539/527",13
"30","DN","GO:0030547","signaling receptor inhibitor activity","5/120","42/18369",7.67197703157325e-06,0.000277896056921431,0.000237786422616013,"100463486/4061/100463498/100462977/6352",5
"32","DN","GO:0061133","endopeptidase activator activity","3/120","13/18369",7.4133928936848e-05,0.00219706007576477,0.00187995130796792,"5720/64115/5721",3
