"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"ISG15",0,3.2774181938228,0.914,0.303,0
"IFI6",0,2.65379946503884,0.752,0.204,0
"IFI44L",0,2.35526468761515,0.72,0.124,0
"CMPK2",0,1.42710295675426,0.346,0.028,0
"RSAD2",0,1.17254359636313,0.261,0.026,0
"PLSCR1",0,1.72561626989374,0.526,0.111,0
"HERC5",0,1.40167653684518,0.339,0.047,0
"LY6E",0,2.14550327926998,0.889,0.452,0
"IFITM1",0,2.32719484771486,0.836,0.29,0
"IFIT2",0,1.91315576734918,0.404,0.041,0
"IFIT3",0,2.93423640409622,0.679,0.054,0
"IFIT1",0,1.98259819927451,0.452,0.034,0
"EPSTI1",0,1.81209111175882,0.611,0.17,0
"USP18",0,1.27411594521486,0.311,0.04,0
"MX1",0,2.49675364193186,0.782,0.248,0
"MX2",1.04076385887163e-298,1.6060428817697,0.486,0.104,3.90161555413795e-294
"B2M",6.84290452585854e-292,0.856819024825941,1,0.999,2.56526804865385e-287
"OAS3",1.50053961296725e-287,1.23036959126469,0.312,0.043,5.62522290109162e-283
"STAT1",1.31232906332963e-270,1.62347528726347,0.65,0.206,4.91965919261012e-266
"IRF7",1.42366169163409e-265,1.86475265986531,0.696,0.274,5.33702294959787e-261
"EIF2AK2",2.43173120802054e-250,1.58865923036029,0.547,0.156,9.1160739526274e-246
"ISG20",1.54230717397726e-236,1.81778948305757,0.885,0.608,5.78180113380594e-232
"SAMD9L",3.35176308076956e-231,1.50994987553453,0.478,0.125,1.25650894371889e-226
"OAS1",3.48544262477098e-230,1.65149478407689,0.528,0.156,1.30662273117414e-225
"IFITM2",5.43470130041814e-226,1.68522992836083,0.876,0.574,2.03736082350075e-221
"TNFSF10",3.46830171627379e-210,1.75989965839954,0.407,0.098,1.30019694739672e-205
"IFI44",3.60877049675366e-194,1.06702661967641,0.298,0.055,1.35285588382301e-189
"XAF1",2.06654457757647e-186,1.28467272970212,0.44,0.122,7.74706231241866e-182
"GBP1",2.67626663877264e-175,1.22875815258118,0.325,0.072,1.00327883754309e-170
"TRIM22",2.29736647217289e-171,1.33572271307868,0.578,0.221,8.61236743088174e-167
"PSMB9",1.67790063123573e-166,1.28433151033558,0.849,0.618,6.2901138863765e-162
"TYMP",3.07551779001917e-166,1.50849761660602,0.666,0.326,1.15295010912239e-161
"BST2",1.86911474877504e-164,1.47956106870523,0.719,0.415,7.00693737020785e-160
"NEXN",2.02744844874167e-160,0.635001872004048,0.126,0.012,7.60049874464279e-156
"UBE2L6",5.84030650996197e-160,1.46477590721345,0.63,0.301,2.18941410445455e-155
"OASL",1.2407813646929e-148,0.768006886432266,0.179,0.026,4.65144117996073e-144
"MT2A",8.68082753955277e-141,1.56984600912642,0.468,0.173,3.25426862802754e-136
"HLA-A",2.0896430331609e-139,0.830887571043579,0.99,0.952,7.83365380271357e-135
"PARP9",7.8283108502338e-134,1.08765047736098,0.347,0.099,2.93467717153565e-129
"HLA-B",1.70549091243112e-129,0.730296091723122,0.998,0.988,6.39354433252179e-125
"NT5C3A",9.21985260572794e-127,1.4593170549989,0.532,0.246,3.45633834483529e-122
"MYL12A",1.36645218909934e-124,1.06736772866982,0.906,0.787,5.12255596649561e-120
"MNDA",4.51978924739947e-123,1.18279150136506,0.285,0.073,1.69437859306511e-118
"OAS2",1.64450280612387e-120,1.00213347008036,0.287,0.076,6.16491211959716e-116
"DDX60",9.47868779718809e-119,0.727213104762267,0.188,0.034,3.55337048140987e-114
"RNF213",1.9782665108043e-115,1.29276337804303,0.536,0.256,7.41612549570315e-111
"PPM1K",3.37361625249399e-113,1.24788325036797,0.6,0.325,1.26470126073495e-108
"CXCL10",1.67366140718889e-112,1.35404241747052,0.12,0.015,6.27422188326971e-108
"HELZ2",1.13095045384956e-110,1.00138593173985,0.249,0.062,4.23970706139123e-106
"HLA-E",1.57851233591729e-109,0.72679119060991,0.967,0.931,5.91752704488674e-105
"SAT1",1.00066045762019e-108,1.12113038273156,0.821,0.644,3.75127592352658e-104
"TAP1",5.40832767235164e-105,1.22664739918124,0.561,0.301,2.02747387781118e-100
"GBP4",6.08654977620563e-105,1.07327591944671,0.28,0.079,2.28172578010397e-100
"SAMD9",7.94714943862659e-102,1.0815517141923,0.325,0.106,2.97922738155234e-97
"DRAP1",1.17156241702603e-99,1.19559781950479,0.623,0.388,4.39195318894717e-95
"NMI",4.98065558174846e-97,0.949607775393205,0.349,0.125,1.86714816448586e-92
"TMSB4X",7.45762233176621e-97,0.538620691319972,1,0.995,2.79571345973252e-92
"C19orf66",2.9729020565249e-96,1.16104148466947,0.48,0.224,1.11448152295006e-91
"DHX58",4.02336598569637e-93,0.638910746764358,0.158,0.03,1.50827944071786e-88
"IFI35",1.64848498405426e-92,1.21853455907191,0.437,0.204,6.1798405082226e-88
"DDX60L",3.42244488586462e-86,0.667352362820568,0.161,0.034,1.28300613881293e-81
"CACNA1A",4.13667057170599e-85,0.604438937624669,0.121,0.02,1.55075506392114e-80
"RABGAP1L",8.66273465654512e-84,1.13689479494633,0.376,0.157,3.24748596804564e-79
"IFI16",1.66076253330201e-83,1.12427821562694,0.62,0.403,6.22586658484257e-79
"HERC6",5.62957615885085e-83,0.566765320645838,0.133,0.024,2.11041551043001e-78
"HLA-C",1.54358507320947e-82,0.547214433423065,0.984,0.973,5.78659172244765e-78
"PARP14",5.41026651680348e-76,1.04827835831156,0.425,0.205,2.02820071181929e-71
"IFIT5",6.78777937991617e-75,0.681569645017139,0.182,0.046,2.54460273394297e-70
"DDX58",1.80575971045495e-69,0.66148753023963,0.146,0.033,6.76943200255351e-65
"SELL",7.05148917498535e-69,0.850023743763854,0.718,0.502,2.64346226191851e-64
"TMSB10",4.00052661930922e-65,0.498773294905326,0.999,0.988,1.49971741904664e-60
"PSME2",2.98807730193538e-63,0.986182037051911,0.646,0.496,1.12017041894954e-58
"PSME1",1.79651384203234e-62,0.697021481554285,0.822,0.734,6.73477109101082e-58
"IFIH1",3.11001197011824e-62,0.705775090657883,0.182,0.053,1.16588128735793e-57
"SP110",3.271567422798e-62,0.93780918290162,0.53,0.325,1.22644519545852e-57
"SLFN5",1.260226838122e-61,0.777255836421005,0.185,0.055,4.72433837075177e-57
"ADAR",4.47867264853375e-61,0.921827711750396,0.459,0.261,1.67896480248233e-56
"XIST",1.47882806956107e-58,0.740354507112347,0.165,0.046,5.54383066717052e-54
"LAP3",7.06658993620858e-57,0.953068846518096,0.365,0.189,2.64912323528587e-52
"HAPLN3",1.25366725989857e-54,0.494220448509931,0.116,0.026,4.69974782390777e-50
"CHST12",1.26563198327192e-54,1.01081515619412,0.329,0.161,4.74460117888977e-50
"IFITM3",4.89177028927829e-54,0.854433934017252,0.213,0.075,1.83382684604464e-49
"PLAC8",1.1237388669567e-53,0.966950806847825,0.583,0.392,4.21267226444729e-49
"CD48",1.35549000770006e-53,0.712527527100654,0.722,0.582,5.081460940866e-49
"CD164",2.10216632590902e-53,0.847020327747894,0.567,0.415,7.88060112256773e-49
"CHMP5",4.98330945114212e-51,0.886957806553462,0.377,0.205,1.86814304704416e-46
"FBXO6",7.53257766638004e-50,0.705334231359252,0.187,0.063,2.82381271557255e-45
"UBC",9.07228568772202e-48,0.495762156488434,0.938,0.901,3.40101845861323e-43
"PTMA",2.48435538845148e-46,0.359833240983932,0.996,0.991,9.31335148022692e-42
"STAT2",5.95681124842347e-46,0.771509909015863,0.224,0.09,2.23308940080899e-41
"TLR7",1.89381326690552e-45,0.43896381860765,0.102,0.024,7.09952717497542e-41
"TNFRSF13B",2.41238587458134e-44,0.855069234758708,0.433,0.253,9.04355216663054e-40
"SUB1",6.03935937575271e-43,0.672909638637551,0.733,0.636,2.26403504278218e-38
"HSH2D",9.13174575999808e-43,0.871617827256711,0.431,0.273,3.42330885050808e-38
"CD69",2.11022270576365e-42,0.524801769667936,0.733,0.558,7.91080287936675e-38
"HLA-DPA1",2.33304234963891e-42,0.415062271413447,0.978,0.932,8.74610916032633e-38
"ATP6V0E1",1.37692973057812e-41,0.624747606170838,0.726,0.65,5.16183417399127e-37
"MRPL44",1.07482192844344e-39,0.862679686006199,0.263,0.127,4.02929244534876e-35
"S100A11",1.36231434703008e-39,0.86036561897084,0.483,0.333,5.10704402414636e-35
"CLIC1",6.37673678781978e-39,0.601871700055569,0.792,0.735,2.39051108701788e-34
"PNPT1",9.81866656691848e-38,0.586459484711905,0.154,0.055,3.6808217226064e-33
"APOL6",2.17557202965993e-36,0.661833595959994,0.179,0.072,8.15578442478913e-32
"IRF9",7.86750594102072e-36,0.712640815227482,0.266,0.132,2.94937062716985e-31
"H3F3B",8.39645593934593e-36,0.436982154875494,0.926,0.912,3.147663402542e-31
"TNFSF13B",8.96299230323535e-36,0.535579714944101,0.11,0.032,3.36004655463687e-31
"PML",3.07172188428076e-34,0.608411100597489,0.196,0.084,1.15152709997917e-29
"TMEM123",3.87126941860441e-34,0.882216213866639,0.469,0.334,1.45126147964642e-29
"FTH1",7.44395084183296e-34,0.317312108003109,0.987,0.988,2.79058829158634e-29
"WARS",3.90347999044281e-33,0.983177824765973,0.221,0.106,1.4633365788172e-28
"CALM2",1.2261029488163e-32,0.56409563391029,0.761,0.704,4.59641473452256e-28
"RAC2",1.93728449141509e-32,0.64224905782762,0.767,0.72,7.2624921014169e-28
"ETV7",1.94768224316785e-32,0.43887294862315,0.114,0.036,7.30147119318764e-28
"ELF1",4.71530686400534e-32,0.76142309260749,0.455,0.324,1.76767423717832e-27
"ZBP1",2.23570218044747e-31,0.836089622832931,0.27,0.15,8.38120033406146e-27
"PI4K2B",2.26082833350671e-31,0.445093722515711,0.108,0.034,8.47539325664997e-27
"KLF6",3.8281892716557e-31,0.495425098404959,0.76,0.642,1.43511159415829e-26
"ACTB",9.1533713122857e-31,0.512842031265906,0.99,0.985,3.43141583754966e-26
"PARP12",1.17060883111529e-30,0.485822720186463,0.147,0.056,4.388378386085e-26
"PHF11",1.1971134246774e-30,0.682711280021364,0.278,0.152,4.48773880643065e-26
"RBCK1",2.27811813916361e-30,0.780201426180295,0.38,0.254,8.54020928009653e-26
"CAPG",4.44474150894398e-30,0.675048851959405,0.456,0.315,1.66624469687292e-25
