"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"TNFRSF25",0,0.575300999436634,0.222,0.017,0
"LCK",0,1.06483725626531,0.637,0.188,0
"CD2",0,2.12004470969735,0.723,0.065,0
"CD247",0,0.922606722728219,0.411,0.05,0
"AAK1",0,0.83834811295269,0.378,0.044,0
"CD8A",0,1.13052667905102,0.265,0.031,0
"CD8B",0,0.981258549240285,0.222,0.023,0
"MAL",0,0.520399174776324,0.191,0.012,0
"ZAP70",0,0.651620716662058,0.274,0.028,0
"CD28",0,0.483747545182777,0.179,0.011,0
"ICOS",0,0.728328191060849,0.242,0.02,0
"ARL4C",0,0.892709758712947,0.428,0.08,0
"TRAT1",0,0.702063331241821,0.255,0.016,0
"TIGIT",0,1.14350363459118,0.362,0.04,0
"LEF1",0,0.472618341651409,0.178,0.014,0
"INPP4B",0,0.401286109708697,0.151,0.007,0
"IL7R",0,1.80878823566585,0.529,0.035,0
"FYB",0,0.962674810505036,0.317,0.026,0
"TMEM173",0,0.529944323159685,0.221,0.02,0
"ITK",0,0.502584775018135,0.188,0.012,0
"LCP2",0,0.659170109517039,0.291,0.042,0
"FYN",0,0.991796306720541,0.44,0.061,0
"TNFAIP3",0,1.30337001002267,0.498,0.099,0
"TRBC1",0,2.22501927280324,0.581,0.095,0
"GIMAP7",0,1.29977605045395,0.472,0.028,0
"GIMAP4",0,1.1089926312911,0.427,0.032,0
"GIMAP1",0,0.462359804803102,0.207,0.019,0
"ITM2A",0,1.17861040940655,0.46,0.113,0
"SH2D1A",0,0.68832961103824,0.252,0.022,0
"CD40LG",0,0.416208301103126,0.15,0.007,0
"LEPROTL1",0,1.13293021968454,0.586,0.161,0
"LINC00861",0,0.451262221765138,0.156,0.011,0
"ANXA1",0,1.24018253053627,0.395,0.069,0
"CD6",0,0.796538644560922,0.348,0.042,0
"CD5",0,0.552454785836627,0.221,0.017,0
"CD3E",0,2.26656881348908,0.798,0.053,0
"CD3D",0,2.5620316984735,0.881,0.138,0
"CD3G",0,1.56087153065509,0.589,0.035,0
"GATA3",0,0.526930826172853,0.186,0.015,0
"SRGN",0,1.64382102519755,0.842,0.408,0
"SPOCK2",0,1.17865880625935,0.534,0.11,0
"CD4",0,0.53590165145958,0.213,0.015,0
"KLRB1",0,1.45455131077536,0.284,0.045,0
"TRAC",0,1.88023339968983,0.796,0.293,0
"PRKCH",0,0.638023237805868,0.273,0.028,0
