"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"SLC2A5",0,0.489716618409997,0.194,0.024,0
"CAPZB",0,0.855535942824587,0.861,0.473,0
"STMN1",0,1.44234527640181,0.462,0.128,0
"HMGN2",0,1.43724247481952,0.917,0.633,0
"ATPIF1",0,1.14015503047068,0.694,0.281,0
"LAPTM5",0,0.937577026037301,0.988,0.856,0
"SERINC2",0,0.322401059774142,0.115,0.005,0
"PTP4A2",0,0.968612676490958,0.704,0.311,0
"CCDC28B",0,0.553437194904521,0.245,0.03,0
"LCK",0,1.0941486805064,0.614,0.179,0
"HDAC1",0,0.970625903317029,0.688,0.235,0
"MARCKSL1",0,2.90586114174714,0.955,0.324,0
"RBBP4",0,1.02032968636584,0.695,0.256,0
"PRDX1",0,1.25351295615658,0.867,0.507,0
"RP11-191G24.1",0,0.253569755866118,0.1,0.001,0
"ACADM",0,0.79089678566243,0.52,0.164,0
"HS2ST1",0,0.48668825140646,0.223,0.032,0
"MTF2",0,0.834251927630737,0.54,0.144,0
"BCAR3",0,0.495870159432056,0.245,0.038,0
"LAMTOR5",0,0.959582706105803,0.81,0.433,0
"CD53",0,1.28589986734942,0.942,0.687,0
"ATP5F1",0,1.03335109632059,0.644,0.22,0
"CAPZA1",0,1.03582054655312,0.765,0.339,0
"RP11-126K1.6",0,0.322872273002079,0.145,0.013,0
"SEMA4A",0,1.28565470847829,0.52,0.057,0
"FCRLA",0,1.0952176452333,0.802,0.373,0
"PRDX6",0,1.0352888759779,0.694,0.302,0
"RGS16",0,0.780493307468665,0.294,0.056,0
"ARPC5",0,1.29096176635344,0.887,0.453,0
"RGS13",0,3.07726713241907,0.908,0.032,0
"LYPLAL1",0,1.03681551764332,0.565,0.117,0
"BPNT1",0,0.885005805058764,0.426,0.051,0
"LBR",0,1.12238400925681,0.589,0.13,0
"H3F3A",0,1.37249462386886,0.992,0.909,0
"PARP1",0,1.67268458583702,0.907,0.402,0
"ODC1",0,1.03062278620743,0.717,0.3,0
"MIR3681HG",0,0.521013989348468,0.207,0.01,0
"RASGRP3",0,1.00667665939327,0.626,0.172,0
"QPCT",0,0.687042360748268,0.314,0.045,0
"MTA3",0,0.494915213952742,0.226,0.028,0
"EML6",0,0.41544184442311,0.16,0.012,0
"CCDC88A",0,0.982727964703905,0.43,0.063,0
"AC074289.1",0,0.93172490101183,0.339,0.028,0
"SPRED2",0,0.507601671812588,0.199,0.004,0
