"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"FGR",1.28440660967375e-252,1.00254953268103,0.266,0.048,4.81498349834495e-248
"IGKV3D-20",1.39928328511241e-213,4.10818485408934,0.127,0.013,5.24563317922939e-209
"PPP1R14A",2.09002890365275e-212,0.682464823887655,0.174,0.024,7.83510035401343e-208
"ARL4D",2.80748397947488e-192,0.756700187339177,0.115,0.012,1.05246959422554e-187
"EEF1A1",5.30859214186888e-186,0.488204139209006,1,0.997,1.99008502214381e-181
"RPL41",1.59419321609949e-183,0.436376941997544,1,0.999,5.97631152851375e-179
"RPL17",6.42192713641715e-183,0.855936604187841,0.949,0.833,2.40745204490006e-178
"CRIP1",2.12506824198117e-177,1.31347189427175,0.649,0.336,7.96645582553903e-173
"RPS15A",1.70197253724809e-167,0.432970681741122,1,0.997,6.38035464763565e-163
"MT-ND3",1.14324612395305e-157,0.619478705254039,0.996,0.972,4.28580106947518e-153
"HCK",1.28778517407781e-147,0.549595553084576,0.19,0.04,4.82764906058288e-143
"RPS28",1.71649204345598e-147,0.423325464762832,1,0.997,6.43478537250779e-143
"MACROD2",1.01586231121368e-138,0.93981497862094,0.178,0.038,3.80826463227785e-134
"FXYD1",1.03017837278625e-138,0.441002108453358,0.154,0.028,3.86193268390109e-134
"RPS21",7.00831037881746e-137,0.478758558975793,0.999,0.984,2.62727539481109e-132
"RPL37",3.04968071050339e-128,0.448487737604617,0.998,0.985,1.14326430475351e-123
"RPL14",1.06391724975046e-124,0.424694261493912,0.997,0.985,3.98841298586452e-120
"RPL11",2.1493841929073e-124,0.391550361083445,1,0.997,8.05761146237088e-120
"RPS3",5.77897596681817e-124,0.427450579689418,1,0.994,2.1664225104408e-119
"RPS14",3.98911744544179e-122,0.411005040885779,0.998,0.99,1.49544034794722e-117
"MT-CYB",6.61173277202868e-122,0.639656934309096,0.994,0.965,2.47860638157811e-117
"TUBB6",2.74246180245126e-120,0.446058733012194,0.119,0.02,1.02809408050293e-115
"MTSS1",8.50232450227339e-119,0.673055328582986,0.291,0.095,3.18735140941225e-114
"RPL12",1.74292947629394e-117,0.432744092620715,1,0.99,6.53389402073074e-113
"RPL10",2.69954120106394e-116,0.351362556122464,0.999,0.999,1.01200400545485e-111
"EMP3",9.52564032652999e-114,0.937612938778173,0.717,0.483,3.57097204560956e-109
"S100A6",3.21510885004477e-113,0.714070579194578,0.752,0.513,1.20528000570478e-108
"RPS12",5.75031035353282e-112,0.408000722197245,1,0.996,2.15567634533238e-107
"RPS27",2.30074970616708e-111,0.41038941705209,1,0.995,8.62505049847915e-107
"RPL19",2.34769304975864e-111,0.367388733397982,0.999,0.996,8.80103170493518e-107
"RPL39",1.21568921757273e-107,0.38191219397161,0.999,0.996,4.55737573883666e-103
"SEMA4B",1.8840467843469e-107,0.43311590336134,0.19,0.049,7.06291458515968e-103
"PPDPF",2.37314703632521e-107,0.611565064689736,0.885,0.742,8.89645360977597e-103
"EEF2",4.29130662817983e-107,0.512432625223074,0.973,0.93,1.60872502877206e-102
"FTL",5.44199869546996e-107,0.265379704742066,0.997,0.972,2.04009647095778e-102
"RPL3",3.26351264324732e-101,0.400624510579405,0.999,0.992,1.22342561970055e-96
"AES",1.70708709411606e-100,0.810401801306429,0.549,0.308,6.39952809842227e-96
"CDKN2D",2.75548544777138e-100,0.548341197246378,0.31,0.115,1.03297638466053e-95
"RPS3A",3.04850260401234e-100,0.396957569778642,0.999,0.991,1.14282265619215e-95
"MT-ND1",1.38737617765906e-99,0.457504631363117,0.985,0.935,5.20099581480828e-95
"RPL13",2.44423718011768e-99,0.353811640317092,0.999,0.997,9.16295634082516e-95
"RPS4X",1.01183499764247e-98,0.400212074500579,0.998,0.992,3.79316703916209e-94
"MT-ND4",1.63352847159249e-97,0.429553939226227,0.996,0.97,6.12377153430591e-93
"PCDH9",2.66331358456187e-95,0.550049761730882,0.134,0.03,9.98422996580553e-91
"RPL36A",2.20216778745028e-94,0.540739817618965,0.964,0.876,8.25548660159362e-90
"MT-CO2",1.88428735478138e-93,0.420874331562713,1,0.989,7.06381643560442e-89
"RPL36",8.66474421631294e-91,0.361639921405213,0.999,0.992,3.2482393118114e-86
"RPL4",9.91877502637451e-91,0.442492423536037,0.978,0.946,3.71835038188727e-86
"RPL9",1.41005919905546e-90,0.425999164471389,0.994,0.978,5.28602992541911e-86
"RPL30",1.46767411983162e-90,0.37661854873847,1,0.995,5.50201674042478e-86
"RPL23A",1.17651515219659e-88,0.414376026397323,0.996,0.981,4.41052000255458e-84
"JUNB",1.65267244631626e-88,0.647644017570334,0.92,0.769,6.1955384667504e-84
"RPL6",9.73155522688937e-88,0.353776739544565,0.999,0.988,3.64816542345629e-83
"MPP6",3.05680046348565e-87,0.569545875486923,0.136,0.033,1.1459333577515e-82
"RPL13A",3.13688540812214e-86,0.415566087100532,0.945,0.915,1.17595560179683e-81
"RPL8",4.85295230551186e-86,0.334871138505433,0.999,0.993,1.81927476029029e-81
"RPS13",1.18557144597136e-85,0.347153265837092,0.999,0.992,4.44447023665743e-81
"MT-CO3",3.22696017576532e-81,0.368491078442664,0.998,0.975,1.2097228306909e-76
"CD52",1.90674942054293e-80,0.45035437021654,0.989,0.892,7.14802222773132e-76
"RPS8",1.10334773784252e-79,0.344297068028292,0.997,0.992,4.13622999962405e-75
"MT-ND2",5.26129972173464e-79,0.438158343332123,0.979,0.945,1.97235603968388e-74
"PLAC8",5.95610577265726e-79,0.73039823938403,0.612,0.387,2.23282493205375e-74
"RPS15",5.62584806527092e-78,0.298926731096146,1,0.996,2.10901792270876e-73
"RPS29",6.64767403416463e-78,0.406191956465322,0.983,0.947,2.49208004192764e-73
"RPS16",1.14903261050482e-77,0.387984482940929,0.987,0.97,4.30749345026047e-73
"RPL18",5.73501979216866e-77,0.305494748053823,0.999,0.993,2.14994421968819e-72
"RPL27",1.61433606705167e-76,0.392066567096421,0.99,0.966,6.0518230481633e-72
"RPS25",3.95744578210052e-75,0.330423420737852,0.997,0.99,1.48356727479384e-70
"RPLP2",6.28505388257699e-75,0.389764555044027,0.996,0.985,2.35614099950046e-70
"SLC25A6",1.85604443408559e-74,0.446626057164849,0.949,0.867,6.95793937450004e-70
"RPS7",2.34687215470336e-74,0.305688416261647,0.998,0.991,8.79795433355197e-70
"RPL29",1.0833336087525e-72,0.300308941043195,0.998,0.99,4.06120103249137e-68
"RPS27A",1.24101582638557e-72,0.328341033456397,0.999,0.993,4.65232012995423e-68
"RPL34",4.77429272806016e-72,0.334116378167192,0.999,0.994,1.78978685789519e-67
"RPS24",1.1213722226823e-71,0.340683991089502,0.996,0.986,4.2038001883914e-67
"EEF1B2",1.3781430273895e-71,0.400965708436749,0.981,0.933,5.16638258107774e-67
"TOMM7",2.93102186106777e-71,0.418004512888734,0.947,0.868,1.09878147527709e-66
"RPL18A",9.1062178139041e-71,0.285463113585692,0.999,0.996,3.41373893407637e-66
"MT-CO1",2.11941554241721e-70,0.38753820027607,0.999,0.988,7.94526498541363e-66
"PRKCB",2.3294535432456e-70,0.554390437889426,0.489,0.27,8.73265544291912e-66
"RGS2",4.41026196792004e-70,0.775129557483004,0.454,0.257,1.65331900653387e-65
"CSGALNACT1",9.4963759700141e-70,0.309057390296508,0.101,0.023,3.56000142363889e-65
"NR4A2",4.1146479633039e-69,0.701913432553524,0.335,0.16,1.54249922848337e-64
"MT-ATP6",7.77217629746268e-68,0.528747272256409,0.99,0.968,2.91363345039281e-63
"FAU",2.56796175763255e-67,0.300229723174517,1,0.994,9.62677503701288e-63
"TNFRSF1B",1.58286002063739e-66,0.61070282728626,0.236,0.096,5.93382564536544e-62
"RPL35A",6.45714073119079e-64,0.30502030497575,0.999,0.99,2.4206529173088e-59
"RPL38",8.59439434511371e-64,0.40703473980566,0.966,0.929,3.22186655209623e-59
