"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"CD1C",1.98073707756494e-242,1.12823764621572,0.379,0.111,7.42538715637545e-238
"CD69",2.14348763142763e-182,0.94581685647042,0.82,0.549,8.03550643269591e-178
"LINC01857",6.34033794063611e-176,0.852612192530902,0.207,0.046,2.37686588718567e-171
"GNG11",1.62614019025291e-168,0.504233790361003,0.114,0.015,6.0960743452201e-164
"RPL41",1.46089041921233e-138,0.383498812626319,1,0.999,5.47658600354318e-134
"RPS3",2.94689834387849e-135,0.414092318921346,0.999,0.994,1.10473325115317e-130
"DUSP1",8.30395330529664e-131,0.700633226344432,0.889,0.759,3.1129860150896e-126
"RPL30",1.54785401477336e-128,0.472533670200332,1,0.995,5.80259513058239e-124
"CD24",2.91428497237823e-127,0.818952585719053,0.547,0.292,1.09250715044515e-122
"RPS28",1.09932348189838e-125,0.363287689858291,0.998,0.997,4.12114386894063e-121
"CXCR4",3.34216138087083e-125,0.750461632080088,0.917,0.799,1.25290945846086e-120
"RPS23",4.64142450654529e-120,0.427710213647431,0.999,0.994,1.7399772190137e-115
"RPL11",1.66695117815076e-115,0.369997604503913,1,0.997,6.24906657665156e-111
"GPR183",7.47964604021656e-114,1.029361984174,0.536,0.324,2.80396970755638e-109
"B2M",3.34342365893828e-111,0.281855693909195,1,0.999,1.25338266126278e-106
"H3F3B",4.92596984163767e-110,0.66604637107362,0.953,0.91,1.84664757423313e-105
"KLF6",2.05052774101047e-109,0.769401080432001,0.821,0.635,7.68701839550006e-105
"FTH1",4.91097984406774e-103,0.353830301360882,0.994,0.988,1.84102812394411e-98
"VPREB3",6.37645843888279e-99,0.657564369443638,0.718,0.489,2.39040673956838e-94
"FAU",1.61207769223313e-94,0.371292812684676,0.998,0.994,6.04335685264356e-90
"RPS18",6.52476503786097e-90,0.321824763825703,0.999,0.997,2.44600391739332e-85
"RPS8",4.446101749052e-89,0.343081954600616,0.997,0.992,1.66675462368461e-84
