"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"RPL11",0,0.357529918589489,0.998,0.997,0
"RPS8",0,0.36893119582505,0.996,0.991,0
"RP5-887A10.1",0,0.845588759084575,0.232,0.072,0
"RPS27",0,0.390918316611653,0.999,0.994,0
"RPS27A",0,0.355692109108046,0.996,0.993,0
"RPL32",0,0.386621961976919,0.998,0.996,0
"RPL14",0,0.364406530795955,0.989,0.985,0
"RPL35A",0,0.352084738108654,0.992,0.99,0
"RPL9",0,0.379892484441324,0.988,0.976,0
"RPL34",0,0.377812335129875,0.997,0.993,0
"RPS14",0,0.559322076056581,0.995,0.989,0
"HLA-A",0,0.442167277011434,0.98,0.943,0
"HLA-B",0,0.41906000095512,0.995,0.986,0
"RPS18",0,0.396803322076679,0.999,0.997,0
"EEF1A1",0,0.385488580960002,0.999,0.996,0
"RPS12",0,0.433168137405936,0.997,0.996,0
"TOMM7",0,0.564564455657563,0.907,0.858,0
"RPL39",0,0.366761898851932,0.997,0.996,0
"RPL30",0,0.421990239575816,0.997,0.995,0
"RPLP2",0,0.508631365199676,0.992,0.983,0
"RPL27A",0,0.424410166917407,0.945,0.925,0
"MALAT1",0,0.532446380533958,0.998,0.99,0
"RPS3",0,0.367567410718367,0.996,0.994,0
"RPS25",0,0.466221451415894,0.994,0.989,0
"RPL41",0,0.308904418782617,0.999,0.999,0
"RPS29",0,0.53809429078787,0.96,0.945,0
"B2M",0,0.332938530717504,1,0.999,0
"RPLP1",0,0.414445881038397,0.999,1,0
"RPS15A",0,0.419837046428224,0.998,0.997,0
"TNFRSF13B",0,0.808715274449166,0.433,0.193,0
"RPL38",0,0.454947177254857,0.939,0.928,0
"RPS21",0,0.401727772509026,0.991,0.982,0
"RPL36",0,0.375665491687377,0.994,0.992,0
"RPS28",0,0.394314456480342,0.997,0.997,0
"RPL27",5.46143111870917e-303,0.368027556943849,0.972,0.965,2.04738129778169e-298
"RPS23",1.75394832595442e-300,0.349030673313981,0.996,0.994,6.57520148433792e-296
"HLA-E",8.96994695418371e-294,0.396382311891792,0.959,0.922,3.36265371418439e-289
"RPS6",5.82116220725371e-289,0.340779750296168,0.995,0.986,2.18223728825527e-284
"RPL23A",9.75562894447244e-286,0.359568113554562,0.99,0.979,3.65719017870383e-281
"RPL13A",5.18435293462616e-279,0.396928415460541,0.935,0.909,1.94351022813266e-274
"RPL13",2.70738887148435e-269,0.291834192841881,0.998,0.997,1.01494594014205e-264
"RPL31",2.17978855592492e-266,0.405319527010308,0.955,0.936,8.17159133845136e-262
"AIM2",3.04544515746272e-262,0.624852409001392,0.313,0.152,1.14167648062962e-257
"HLA-DRA",6.89419472242599e-258,0.3645381772982,0.998,0.904,2.58449571754306e-253
"RPS20",7.84298806960784e-255,0.449469635059979,0.871,0.843,2.94017936753459e-250
"RPL21",3.44470737634169e-249,0.382778846678046,0.967,0.946,1.29135190124297e-244
"RPL19",4.79118645076734e-240,0.288002625700472,0.996,0.996,1.79611997666366e-235
"RPS7",7.3177711756415e-234,0.279667895007281,0.993,0.991,2.74328605832449e-229
"CLECL1",1.48318698532294e-226,0.567343822080531,0.314,0.16,5.56017137057865e-222
"RPS16",1.2987776251766e-225,0.318064561564666,0.979,0.968,4.86885756126202e-221
"RPL3",4.74071303513188e-224,0.27887158050995,0.995,0.992,1.77719850261024e-219
"RPS3A",2.90110673648962e-222,0.286352141386855,0.994,0.99,1.08756689337523e-217
"MT-CYB",3.59325909008476e-222,0.388979856619656,0.97,0.964,1.34704096769097e-217
"RPS15",7.58599098699616e-222,0.256761593321876,0.996,0.996,2.84383630120512e-217
"EEF1B2",8.5318885769411e-221,0.364551642723142,0.939,0.934,3.19843438972368e-216
"RPL37",2.81576258648901e-219,0.300708323957054,0.99,0.984,1.055573078423e-214
"HLA-DPA1",1.18116362723304e-218,0.343441745675173,0.989,0.913,4.42794620577122e-214
"BANK1",2.90653815089103e-217,0.492731789740063,0.646,0.468,1.08960302200603e-212
"HLA-DPB1",3.03574405728651e-215,0.329801940320225,0.982,0.869,1.13803973219557e-210
"TPT1",3.60348821582578e-215,0.291998743007333,0.989,0.988,1.35087566234877e-210
"LINC01781",7.11315875824667e-214,0.724712905252085,0.169,0.058,2.66658095529151e-209
"CD24",6.37682650374981e-213,0.552487187902109,0.434,0.258,2.39054471972573e-208
"MS4A1",1.6591223160908e-210,0.335641080949015,0.936,0.735,6.2197177385612e-206
"MT-CO3",2.20795082769687e-209,0.37703251764982,0.984,0.973,8.27716606287002e-205
"RPL22",9.28083138570453e-201,0.29309761207983,0.973,0.964,3.47919806987291e-196
"ITGB1",4.03017241825598e-197,0.763924668098291,0.376,0.24,1.5108310361558e-192
"PFDN5",1.36559722735352e-194,0.290755265362236,0.944,0.946,5.11935088590287e-190
"HLA-C",2.47762241800785e-194,0.292497683324091,0.98,0.97,9.28811092062783e-190
"MT-ND2",3.2523751660353e-194,0.386243762643617,0.954,0.943,1.21925040224331e-189
"UBC",7.38439330188713e-192,0.412685288242591,0.928,0.893,2.76826136101145e-187
"RPS13",1.98207190035218e-191,0.261368559191155,0.994,0.992,7.43039114004027e-187
"UBA52",1.5006899143445e-190,0.28513054989435,0.969,0.957,5.62578635089467e-186
"RPL5",2.79775534758243e-185,0.260333342090156,0.984,0.981,1.0488225247017e-180
"TXNIP",2.16710089221125e-179,0.385967115126346,0.785,0.671,8.12402782472153e-175
"SCIMP",4.87963988485637e-177,0.506101514390725,0.31,0.17,1.82927940003496e-172
"MT-ND1",5.47133979454935e-177,0.387811152101535,0.945,0.934,2.05109586218066e-172
"HSPA8",1.69049038738821e-175,0.416986559909319,0.761,0.675,6.33731036424092e-171
"LTB",8.03461135662924e-165,0.323510469570177,0.89,0.735,3.01201510537317e-160
"COCH",4.11011452851116e-162,0.432177007395937,0.129,0.045,1.54079973444826e-157
"MT-CO1",8.091966328485e-161,0.309446770830319,0.987,0.989,3.03351633722246e-156
"LY86",4.18312131967312e-160,0.433885244321172,0.56,0.405,1.56816852031906e-155
"RPL36A",8.97142039968068e-159,0.351073051487145,0.899,0.872,3.36320607943229e-154
"RPS11",1.02422875806931e-158,0.285527861893924,0.951,0.943,3.83962876825023e-154
"CD27",3.31686159100427e-157,0.442483802511567,0.524,0.385,1.24342507323568e-152
"RPSA",1.94101009415496e-152,0.258152990686684,0.975,0.953,7.27645864096813e-148
"CD82",2.22606135559854e-144,0.477126629978436,0.419,0.287,8.34505880986779e-140
"MT-ND4",1.04721746354178e-143,0.296898399526357,0.976,0.969,3.92580882732542e-139
"RPL4",2.43697083188519e-143,0.25533618955097,0.956,0.945,9.13571625457118e-139
"SELL",2.65856580814245e-138,0.384057293040817,0.615,0.468,9.96643150156441e-134
"MT-ND3",1.8903730013853e-137,0.300364445554205,0.974,0.973,7.08663030759321e-133
"VIM",6.6119063425388e-135,0.277311232811279,0.723,0.605,2.47867144969094e-130
"CAPG",1.02836167412912e-134,0.437575624515112,0.414,0.284,3.85512224397525e-130
"EVI2B",1.28831593022943e-134,0.474656478452704,0.593,0.497,4.82963875924411e-130
"MYL12A",2.65771220895177e-132,0.28775622084458,0.844,0.771,9.96323152891839e-128
"RPS2",3.07572100797945e-132,0.281895862640467,0.959,0.935,1.15302629147134e-127
"ADAM28",3.53624534906227e-128,0.485843571847659,0.464,0.34,1.32566765645646e-123
"HSPA1B",5.34374342061738e-128,1.46788828037987,0.248,0.15,2.00326253352104e-123
"SLC25A6",7.26174395329098e-128,0.282169851818427,0.882,0.867,2.72228257320972e-123
"BLK",1.35647170662459e-124,0.403524020600341,0.452,0.322,5.08514113379427e-120
"COMMD6",4.47392307788491e-123,0.304915289804973,0.825,0.791,1.67718428343749e-118
"COTL1",2.78739404065034e-121,0.322251632798202,0.645,0.526,1.044938277959e-116
"CD99",1.21328448406505e-120,0.478569016935816,0.572,0.497,4.54836087386308e-116
"CD74",4.04459572038516e-119,0.276254872830689,1,0.991,1.51623804365799e-114
"KLF6",4.36524808305213e-118,0.436806685710958,0.701,0.625,1.63644420137458e-113
"ARL6IP5",9.00886075622896e-118,0.426113465571172,0.576,0.484,3.37724172029511e-113
"HSPA1A",4.53662495929099e-117,1.30834057665076,0.241,0.146,1.70068996473901e-112
"TEX9",2.4535212647318e-114,0.371573528315497,0.129,0.055,9.19776051722656e-110
"SSPN",2.12310468099333e-111,0.440494832792601,0.142,0.067,7.95909482810778e-107
"RNASET2",1.34588701289779e-109,0.36234940477819,0.642,0.567,5.04546123395122e-105
"MT-ATP6",1.5102232217375e-109,0.289760647300582,0.971,0.968,5.66152481364955e-105
"RPL7",2.62336901592063e-109,0.257424029962293,0.938,0.926,9.83448576688327e-105
"ARHGAP24",8.22610057671705e-108,0.39240048824287,0.411,0.287,3.08380058419969e-103
"RPS10",1.85391280015537e-105,0.286231859135949,0.837,0.81,6.94994830522244e-101
"CD48",5.26339043984918e-103,0.339796129779311,0.649,0.562,1.97313980809066e-98
"RPL23",2.83274513130965e-99,0.252468760046411,0.893,0.883,1.06193949482536e-94
"NCR3",3.23223055432175e-98,0.380646885651124,0.234,0.138,1.21169859020414e-93
"SMIM14",1.163310589094e-96,0.289263229682009,0.564,0.445,4.36101873639558e-92
"TLR10",1.11193481845415e-94,0.392179912391141,0.317,0.213,4.16842124742093e-90
"EIF4A2",1.70678118517873e-94,0.331683165440872,0.711,0.678,6.39838130699801e-90
"MARCH1",4.2361487090395e-94,0.329990647005923,0.439,0.318,1.58804742804473e-89
"NAP1L1",6.48488284899139e-88,0.295459922313592,0.711,0.653,2.43105288242989e-83
"PLP2",2.30475278989231e-83,0.438675378302956,0.461,0.394,8.64005725874831e-79
"UBE2N",1.21561625632702e-81,0.436968811354988,0.454,0.382,4.55710222171872e-77
"GPR183",3.52072976577754e-81,0.366267757515697,0.402,0.311,1.31985117459468e-76
"ZFAS1",1.03706808537335e-78,0.262299831628475,0.74,0.679,3.88776083844762e-74
"GPSM3",7.04518460816776e-74,0.272522725812529,0.703,0.655,2.64109880590993e-69
"S100A4",2.85045331371493e-73,0.341137457550281,0.494,0.418,1.06857793824545e-68
"METTL8",3.71980774786144e-73,0.318946643859005,0.163,0.094,1.3944815285183e-68
"ACAP1",2.25656093334357e-72,0.339679801673561,0.565,0.499,8.45939562691838e-68
"DRAM2",2.49294289762273e-71,0.350328257634627,0.461,0.383,9.34554433460808e-67
"AL928768.3",4.33421257821375e-70,0.744885290517137,0.203,0.128,1.62480961132077e-65
"SYPL1",2.6989572717499e-65,0.261665613940798,0.515,0.414,1.0117851020336e-60
"ATP6V0E1",3.12090006659923e-65,0.275564261186172,0.667,0.647,1.16996301696672e-60
"CRIP1",4.38909591987388e-63,0.324309633082357,0.402,0.33,1.64538427844232e-58
"PTPN6",4.4953524315519e-63,0.318308175931703,0.531,0.452,1.68521771954018e-58
"SAMSN1",2.00335268368406e-62,0.39822059010781,0.287,0.217,7.5101685405948e-58
"SYNGR2",2.90007176559014e-62,0.345946029297608,0.586,0.54,1.08717890348443e-57
"PPP1R15A",1.14687818795248e-60,0.307831178994433,0.571,0.515,4.29941695099627e-56
"CTSA",2.46256983602007e-60,0.410060141761825,0.241,0.176,9.23168180127206e-56
"ACP5",1.07296982326304e-55,0.294342757713906,0.329,0.254,4.02234927344849e-51
"TRAC",3.82054414662156e-54,0.365365413056052,0.359,0.296,1.43224558968549e-49
"TMEM154",3.05456465051378e-52,0.307608038040015,0.298,0.225,1.14509519618461e-47
"KYNU",2.65791214967366e-51,0.259389252564237,0.142,0.087,9.96398106669661e-47
"CD44",5.10299421940236e-51,0.307034427674392,0.546,0.503,1.91301047296956e-46
"RILPL2",3.01056957438639e-49,0.286453187123293,0.214,0.152,1.12860232204597e-44
"VASP",8.05346852387257e-48,0.276010708563901,0.419,0.349,3.01908428022935e-43
"CNPY3",6.94590282416061e-47,0.309726728356925,0.412,0.353,2.60388005072133e-42
"KCNN4",1.31661591794913e-46,0.311095023401684,0.156,0.104,4.93572975320768e-42
"PTGES3",8.62790735336852e-45,0.321433160216491,0.507,0.481,3.23442990863079e-40
"ID3",2.11762841989296e-44,0.318813558178633,0.265,0.202,7.93856542049474e-40
"RIC3",3.23593422722397e-42,0.263889498529296,0.247,0.184,1.21308702310172e-37
"IER5",3.52660880925436e-40,0.456118932770704,0.218,0.165,1.32205511041327e-35
"PDLIM1",1.97335812386282e-39,0.251100470290755,0.396,0.334,7.39772493473696e-35
"TCF4",2.00380577445327e-39,0.349310723751872,0.35,0.305,7.51186708727042e-35
"CD86",1.81506456962899e-38,0.264659546097144,0.174,0.123,6.80431405862517e-34
"CYSLTR1",1.67269859730498e-37,0.275011649188786,0.192,0.139,6.27061250157691e-33
"MBP",1.94039730947472e-37,0.277886393961592,0.224,0.168,7.27416143375882e-33
"CTSH",7.93046860392236e-37,0.267153811430869,0.514,0.474,2.97297407023841e-32
"ANXA6",8.89068778838515e-37,0.253100352428865,0.483,0.442,3.33294103810982e-32
"SP110",3.23509944768139e-36,0.273111143111593,0.373,0.315,1.2127740809468e-31
"SMARCB1",1.01591573943886e-35,0.291235428712314,0.432,0.395,3.80846492400839e-31
"HLA-F",1.95333082694245e-33,0.317183791951384,0.41,0.373,7.32264660404184e-29
"MARCKS",2.1647020431372e-33,0.311292866237957,0.196,0.15,8.11503501931275e-29
"ABHD14B",4.60660736696695e-33,0.299420072920088,0.304,0.258,1.72692496972857e-28
"BHLHE41",4.5491138249133e-32,0.304757152606675,0.135,0.096,1.7053717906835e-27
"CHCHD10",3.66499637742279e-31,0.251341561727925,0.512,0.505,1.37393384196826e-26
"HLA-DQA2",4.71888034455285e-30,0.280961922283907,0.338,0.281,1.76901386356597e-25
"CDC42EP3",1.24210786251326e-29,0.282665183211022,0.139,0.1,4.65641395498969e-25
"KLF2",5.33065293770939e-28,0.264573980043777,0.477,0.428,1.9983551732885e-23
"ZBTB20",7.09490437954257e-28,0.301254598237179,0.226,0.182,2.65973775380292e-23
"GSTK1",2.30840322740285e-24,0.281008970728541,0.487,0.486,8.65374201888782e-20
"PDCD4",3.40379786828675e-24,0.264731644442627,0.312,0.272,1.27601574486334e-19
"INPP5D",2.58720973292915e-23,0.253347357845309,0.345,0.303,9.6989318468048e-19
"IDS",7.02170664301488e-23,0.320074448819474,0.351,0.324,2.63229738633342e-18
"HOPX",1.37156093409459e-22,0.27483138066212,0.196,0.155,5.14170762973381e-18
"ATP2B1",4.0255329512384e-21,0.308838131523665,0.262,0.23,1.50909179276025e-16
"ANKRD12",2.62380502633517e-20,0.271578080844004,0.429,0.42,9.83612028272529e-16
"ANXA2",5.3798777284999e-20,0.279226097599714,0.293,0.266,2.01680856286004e-15
"ARID5B",6.05834145743836e-20,0.296508841331986,0.325,0.298,2.27115104556449e-15
"HSP90AA1",4.82303380541307e-19,0.267892933269021,0.642,0.642,1.80805891297325e-14
"SCPEP1",5.84960062672959e-17,0.269605491472901,0.278,0.251,2.19289828294839e-12
"CH17-373J23.1",5.41695517844953e-15,0.271267288678401,0.133,0.106,2.03070815729716e-10
"HSPE1",2.23776769614171e-14,0.357809528254442,0.468,0.479,8.38894353929602e-10
"PLCG2",3.18496701355087e-12,0.474919708892369,0.285,0.269,1.19398043403995e-07
"DNAJB1",4.14159327181643e-11,0.57626610034947,0.252,0.239,1.55260048573854e-06
"SND1",3.6412747159572e-07,0.261980740897453,0.22,0.213,0.0136504106551803
"MTRNR2L8",1.10315078852365e-06,0.306535288020507,0.239,0.277,0.0413549167601746
"RP11-386I14.4",1.42787638991727e-05,0.284930746626687,0.23,0.219,0.535282301052187
"MTRNR2L12",0.00478727880142643,0.300559266083599,0.316,0.345,1
