"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"CD52",0,0.548576671665654,0.982,0.882,0
"CHI3L2",0,1.07281123033642,0.388,0.155,0
"PHACTR1",0,1.08176751729077,0.49,0.203,0
"HLA-DRA",0,0.618937269892694,1,0.917,0
"HLA-DRB1",0,0.799318022516187,0.997,0.911,0
"HLA-DQA1",0,0.711916485320762,0.946,0.781,0
"HLA-DQB1",0,0.600933221315873,0.975,0.855,0
"HLA-DPA1",0,0.533519790185035,0.995,0.923,0
"CD72",0,1.16203181082868,0.522,0.172,0
"BTG1",0,0.733133784501698,0.973,0.906,0
"HVCN1",0,0.892667902301972,0.649,0.377,0
"TCL1A",0,1.30851941887008,0.778,0.26,0
"IGHD",0,1.32115605674597,0.802,0.241,0
"CD79B",0,0.732012750004786,0.895,0.746,0
"FCER2",0,1.44797918937559,0.65,0.216,0
"RPL18A",0,0.447953049093546,1,0.996,0
"RPS19",0,0.500490095056811,0.999,0.997,0
"RPS9",0,0.402267116110003,0.994,0.984,0
"RPS5",0,0.470204021093794,0.996,0.987,0
"RPL12",1.85671702326841e-295,0.410562046674618,0.998,0.989,6.96046077682862e-291
"CD79A",4.1230867248668e-294,0.490536031023443,0.975,0.929,1.54566275141807e-289
"TMSB4X",1.93288386590295e-292,0.389163392983977,1,0.994,7.24599503649698e-288
"CD74",6.93577658007765e-290,0.424210342203279,1,0.992,2.60008392433951e-285
"CD69",2.17136857534653e-285,0.919780372263757,0.747,0.532,8.14002651525908e-281
"C1orf162",6.24886237477506e-268,0.726624457180603,0.354,0.149,2.34257352705568e-263
"RPSA",2.33977086572504e-266,0.446874559048093,0.984,0.955,8.77133302143004e-262
"RPL13",1.53663527133709e-251,0.337585810072634,1,0.997,5.76053830518848e-247
"RPL15",1.975369828397e-250,0.361624091713935,0.995,0.987,7.40526641269469e-246
"ACTB",2.44945991640957e-247,0.362605459013096,0.999,0.983,9.18253533463619e-243
"CXCR4",3.06673023939288e-244,0.695029289290614,0.891,0.791,1.1496558321436e-239
"RPL26",8.62322100601719e-240,0.39073143343162,0.996,0.978,3.23267309073573e-235
"VPREB3",2.20570742610569e-233,0.611931465511801,0.707,0.466,8.26875599898502e-229
"RPL35",6.96072780716556e-233,0.344686469121404,0.996,0.988,2.60943764035023e-228
"CD83",3.91035092932631e-230,0.789252875303503,0.547,0.331,1.46591235638585e-225
"HLA-DPB1",4.93266518340054e-227,0.442495427832693,0.988,0.884,1.8491575239532e-222
