"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"SRM",0,0.334199042909051,0.473,0.142,0
"DDOST",0,0.397393661016096,0.65,0.215,0
"C1QA",0,0.602888554109751,0.116,0.011,0
"ZNF593",0,0.277221728152611,0.46,0.112,0
"IFI6",0,0.963902577610506,0.624,0.145,0
"HYI",0,0.25480117841922,0.265,0.024,0
"TMEM59",0,0.734822802655822,0.859,0.403,0
"GADD45A",0,0.383584403955405,0.306,0.035,0
"S100A11",0,0.481240857524937,0.711,0.269,0
"S100A9",0,0.56796062000522,0.364,0.124,0
"S100A8",0,0.733551842415322,0.372,0.13,0
"KCNN3",0,0.288074393120696,0.273,0.012,0
"KRTCAP2",0,0.721617869064713,0.842,0.339,0
"SLAMF7",0,0.597817194208314,0.477,0.022,0
"FCER1G",0,0.532065909059307,0.228,0.038,0
"UAP1",0,0.298039835475813,0.326,0.041,0
"TOR3A",0,0.255236097492082,0.541,0.17,0
"PDIA6",0,0.78365543496381,0.829,0.329,0
"SDC1",0,0.863563996107731,0.491,0.006,0
"PREB",0,0.351048193913087,0.425,0.07,0
"ERLEC1",0,1.10095382160844,0.743,0.11,0
"MTHFD2",0,0.276973608488269,0.39,0.094,0
"GNLY",0,0.760053379884859,0.285,0.066,0
"LINC00152",0,0.508830678407537,0.301,0.053,0
"IGKC",0,4.8323760750518,0.903,0.8,0
"IGKV1-12",0,1.72003022474698,0.177,0.012,0
"IGKV4-1",0,5.32735457471345,0.347,0.032,0
"IGKV1-5",0,5.15752042284163,0.192,0.018,0
"IGKV3-11",0,4.98007965070439,0.161,0.014,0
"IGKV3-15",0,5.76243835296775,0.201,0.018,0
"IGKV3-20",0,5.623552655273,0.222,0.026,0
"IGKV1-39",0,2.75637051905098,0.101,0.008,0
"MIR4435-2HG",0,0.350610100775289,0.297,0.037,0
"ITGA6",0,0.290103696316693,0.192,0.005,0
"PDK1",0,0.367565640777478,0.373,0.038,0
"CHPF",0,0.733061455152951,0.517,0.012,0
"ITM2C",0,1.75476458638755,0.813,0.134,0
"HDLBP",0,0.644352304463409,0.546,0.071,0
"SEC13",0,0.365406430063667,0.518,0.122,0
"ANKRD28",0,0.67324510149625,0.498,0.058,0
"GMPPB",0,0.524695615301894,0.483,0.047,0
"MANF",0,1.34190619957677,0.785,0.119,0
"SPCS1",0,0.87679077615528,0.913,0.514,0
"ARF4",0,0.683573149103384,0.71,0.176,0
"SEC61A1",0,0.599414394776585,0.575,0.072,0
"RPN1",0,0.689271481025058,0.646,0.113,0
"H1FX",0,0.377382502026044,0.444,0.149,0
"SRPRB",0,0.4993840540883,0.536,0.07,0
"SSR3",0,1.64633056632339,0.89,0.189,0
"FNDC3B",0,0.519215522291682,0.365,0.009,0
"DNAJB11",0,0.510117972708255,0.58,0.135,0
"CD38",0,0.75549709078045,0.535,0.075,0
"JCHAIN",0,4.13164346463241,0.823,0.307,0
"RASSF6",0,0.283206338964172,0.23,0.025,0
"CXCL8",0,0.573166780936562,0.251,0.058,0
"CXCL13",0,0.488869389202319,0.178,0.024,0
"CISD2",0,0.487867273274728,0.594,0.116,0
"OSTC",0,0.677379521448345,0.761,0.246,0
"SPCS3",0,1.43452968320067,0.837,0.133,0
"CLPTM1L",0,0.373059172644961,0.374,0.048,0
"SUB1",0,0.925346107409901,0.929,0.585,0
"GZMA",0,0.505894074895846,0.247,0.044,0
"GLRX",0,0.733825007522031,0.713,0.206,0
"ELL2",0,0.545756337958557,0.43,0.027,0
"FAM174A",0,0.25359886145483,0.251,0.025,0
"UQCRQ",0,0.590581087817783,0.849,0.417,0
"SAR1B",0,0.375711876899251,0.47,0.073,0
"TXNDC15",0,0.853156673608568,0.665,0.074,0
"SIL1",0,0.514973897105417,0.502,0.045,0
"MZB1",0,3.57424149631422,0.976,0.173,0
"ATOX1",0,0.400656599107797,0.552,0.15,0
"CPEB4",0,0.291705354383531,0.293,0.037,0
"LMAN2",0,0.602662142977303,0.763,0.26,0
"TMED9",0,0.545805232176086,0.775,0.296,0
"LTC4S",0,0.270504235854339,0.184,0.007,0
"MGAT1",0,0.353628402491641,0.552,0.12,0
"IRF4",0,0.346459302057688,0.254,0.039,0
"SSR1",0,0.316348250729619,0.6,0.188,0
"HIST1H1C",0,0.752909623042705,0.504,0.115,0
"HIST1H2BG",0,0.373767956977141,0.206,0.024,0
"IER3",0,0.370353587081763,0.2,0.018,0
"NEU1",0,0.252108149855217,0.395,0.064,0
"HSD17B8",0,0.378072016462293,0.397,0.042,0
"CDKN1A",0,0.542234129490433,0.355,0.088,0
"CCDC167",0,0.354969211994333,0.519,0.139,0
"UBE2J1",0,0.494765973068442,0.739,0.326,0
"MANEA",0,0.267384621037223,0.269,0.016,0
"PRDM1",0,0.774288825238497,0.52,0.04,0
"MAN1A1",0,0.308584188087231,0.255,0.017,0
"CITED2",0,0.948697856459943,0.553,0.137,0
"FUCA2",0,0.254019329957364,0.318,0.035,0
"MPC1",0,0.288881874639115,0.448,0.091,0
"KDELR2",0,1.03205791471224,0.766,0.179,0
"SEC61G",0,1.08600626561862,0.902,0.423,0
"DNAJB9",0,0.970682722732623,0.726,0.126,0
"CAV1",0,0.368870247826604,0.246,0.004,0
"CALU",0,0.360409140619943,0.419,0.045,0
"CREB3L2",0,0.378079889006341,0.363,0.038,0
"PDIA4",0,1.03450084656413,0.707,0.137,0
"PRDX4",0,2.16414922836258,0.889,0.098,0
"TIMP1",0,0.760784809869067,0.427,0.095,0
"SLC38A5",0,0.331507815100593,0.317,0.021,0
"PIM2",0,1.11490874191869,0.753,0.214,0
"SSR4",0,3.19810721955606,0.989,0.564,0
"PLPP5",0,0.524744084133813,0.741,0.202,0
"GGH",0,0.302493680706865,0.256,0.021,0
"TRAM1",0,0.510000525738948,0.762,0.272,0
"LY96",0,0.273955020147575,0.533,0.142,0
"TP53INP1",0,0.34632086241759,0.367,0.066,0
"ZNF706",0,0.569166146324086,0.806,0.356,0
"DERL1",0,0.46695547920416,0.639,0.155,0
"TRIB1",0,0.544315205107343,0.385,0.022,0
"PTP4A3",0,0.440967955143446,0.27,0.042,0
"AQP3",0,0.536940273802423,0.323,0.028,0
"NANS",0,0.388551380452839,0.57,0.116,0
"SEC61B",0,1.4101961192624,0.927,0.417,0
"TXN",0,0.657081950516826,0.703,0.214,0
"HSPA5",0,1.08642643685639,0.768,0.239,0
"ST6GALNAC4",0,0.357014236811002,0.478,0.09,0
"SURF4",0,0.312909097948553,0.461,0.087,0
"PHPT1",0,0.649516268401223,0.725,0.18,0
"CHID1",0,0.403502348570174,0.483,0.066,0
"CTSD",0,0.26691212129294,0.433,0.129,0
"ADM",0,0.274279118376797,0.11,0.004,0
"NUCB2",0,1.0713270106693,0.661,0.04,0
"CD59",0,0.361432363401393,0.386,0.06,0
"TMEM258",0,0.946537352132728,0.92,0.504,0
"SLC3A2",0,0.333478730780771,0.532,0.154,0
"FKBP2",0,1.81673948500861,0.907,0.193,0
"YIF1A",0,0.323316759806854,0.521,0.128,0
