"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"MZB1",4.36835991086875e-135,2.63647998007788,0.978,0.292,1.63761076338648e-130
"FKBP11",4.8738413181716e-129,1.85841908892911,0.914,0.222,1.82710563335617e-124
"DERL3",1.11094240778722e-123,1.79993569835824,0.919,0.217,4.16470089831272e-119
"IGHM",7.74272223894119e-118,6.87410738912028,0.968,0.521,2.90259171293427e-113
"SDF2L1",1.96728795467599e-111,1.64402780556531,0.886,0.23,7.37496908448937e-107
"JCHAIN",1.13138426829454e-109,3.68897052226831,0.957,0.383,4.24133334498256e-105
"MANF",3.92241914322924e-105,1.41405280030032,0.854,0.217,1.47043648841378e-100
"XBP1",4.14653037219289e-105,1.80921773530916,0.908,0.259,1.55445130592767e-100
"SEC11C",2.00804683576031e-99,1.79687531678199,0.951,0.33,7.52776597789826e-95
"NUCB2",5.42780540129915e-96,0.958468643080612,0.654,0.133,2.03477568883903e-91
"PRDM1",4.72917019789275e-94,0.913460615756196,0.595,0.11,1.77287132378604e-89
"CHPF",2.19411845161261e-92,0.685223934461347,0.514,0.087,8.22531125140533e-88
"PRDX4",1.04356742096287e-88,1.32726467634674,0.816,0.216,3.91212554770561e-84
"SSR4",1.59576573479214e-84,1.96079070352644,0.984,0.627,5.98220658658876e-80
"GMPPB",1.09791046450162e-80,0.684318667395383,0.562,0.111,4.11584674932366e-76
"TXNDC11",8.717123806379e-80,0.768465415514022,0.67,0.153,3.26787537253536e-75
"TNFRSF17",4.93854725494829e-79,1.07830099354381,0.708,0.176,1.85136259493501e-74
"HSP90B1",8.37272179499887e-79,1.92683568018793,0.908,0.365,3.13876594650918e-74
"SLAMF7",3.84854727728931e-78,0.631233008832697,0.492,0.09,1.44274340331022e-73
"FKBP2",4.16474275355389e-77,1.37464671564591,0.886,0.299,1.56127876345228e-72
"PDIA4",2.11583966043271e-76,1.23009591598921,0.778,0.221,7.93185971903015e-72
"TRIB1",2.11691819639835e-71,0.596752105443146,0.432,0.076,7.93590293465814e-67
"CRELD2",1.88812073212008e-65,0.987904437565256,0.741,0.212,7.07818700057176e-61
"SLC35B1",9.08078319834134e-63,0.452120638271819,0.562,0.127,3.4042040053942e-58
"MYDGF",9.26919125289381e-61,1.43719900506231,0.805,0.293,3.47483441688483e-56
"ANKRD28",1.35865552080581e-60,0.600803746982492,0.535,0.123,5.0933278163968e-56
"HM13",2.4811200275811e-60,0.955758308051998,0.741,0.226,9.30122275939603e-56
"DNAJC3",3.35329256934342e-60,0.604526550943387,0.6,0.151,1.25708231839546e-55
