"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"CD52",0,0.677366637796917,0.988,0.884,0
"TXNIP",0,1.11009933657125,0.881,0.676,0
"RPS27",0,0.597942100049109,0.999,0.995,0
"RPS27A",0,0.528468957502771,0.999,0.993,0
"TMSB10",0,0.675000850553501,0.999,0.987,0
"RPL31",0,0.572753536887505,0.985,0.935,0
"RPL37A",0,0.675769160853817,0.983,0.944,0
"RPL32",0,0.438594608757533,0.999,0.996,0
"RPL15",0,0.612532513819299,0.998,0.987,0
"RPSA",0,0.607220127918338,0.988,0.955,0
"RPL29",0,0.443633933496775,0.997,0.989,0
"RPL35A",0,0.454650283996996,0.998,0.989,0
"RPL9",0,0.640116409217011,0.996,0.977,0
"RPL34",0,0.545524282966366,0.999,0.994,0
"RPS3A",0,0.629807711572899,0.999,0.99,0
"RPL37",0,0.564713127637731,0.998,0.983,0
"RPS23",0,0.449980658791575,0.999,0.994,0
"RPS10",0,0.741452858190184,0.953,0.798,0
"RPL10A",0,0.579166295403858,0.995,0.961,0
"RPS4X",0,0.455727670633704,0.999,0.992,0
"RPL36A",0,0.614191131960415,0.962,0.868,0
"RPL39",0,0.430085478042249,0.998,0.996,0
"RPL10",0,0.439487872326051,1,0.999,0
"RPL7",0,0.66473843032573,0.978,0.923,0
"RPL8",0,0.473148044133934,0.998,0.993,0
"RPS6",0,0.500395129351477,0.998,0.987,0
"RPL35",0,0.562789460625172,0.998,0.988,0
"RPL12",0,0.505483468036951,0.996,0.989,0
"RPLP2",0,0.526166425930272,0.997,0.984,0
"RPS13",0,0.409249342933802,0.998,0.992,0
"YBX3",0,1.29354959023638,0.373,0.086,0
"BTG1",0,0.680298073815698,0.987,0.905,0
"RPL21",0,0.667065595260731,0.989,0.946,0
"TCL1A",0,1.71890073641209,0.845,0.263,0
"IGHD",0,1.76616752715957,0.879,0.243,0
"IGHM",0,0.419010959388042,0.913,0.469,0
"LINC00926",0,1.35028799108207,0.676,0.289,0
"RPS17",0,0.829701992956829,0.948,0.79,0
"IL4R",0,1.34279974298136,0.455,0.136,0
"RPL13",0,0.628424260770869,0.999,0.997,0
"RPL26",0,0.606566582994367,0.997,0.978,0
"RPL23A",0,0.509391497251394,0.996,0.98,0
"RPL27",0,0.589850505497594,0.992,0.963,0
"RPL38",0,0.634198531099783,0.979,0.924,0
"RPL17",0,0.935378417578447,0.939,0.824,0
"FCER2",0,1.03374697210635,0.594,0.234,0
"RPL18A",0,0.741015412457393,0.999,0.996,0
"UBA52",0,0.505905061883396,0.985,0.957,0
"RPS16",0,0.495023144488903,0.988,0.969,0
"RPS19",0,0.585983929658874,1,0.997,0
"RPL18",0,0.451834455492338,0.998,0.993,0
"CD37",0,0.841745011121946,0.99,0.872,0
"RPL13A",0,0.661334845204922,0.974,0.908,0
"RPS11",0,0.670087603416286,0.982,0.94,0
"RPS9",0,0.517739864884904,0.998,0.984,0
"RPS5",0,0.531412575474012,0.998,0.987,0
"RPL3",0,0.439998670894759,0.999,0.992,0
"MT-ND2",0,0.60843889395379,0.987,0.941,0
"MT-ND3",0,0.581144553890361,0.997,0.97,0
"RPL11",8.797200890306e-308,0.388187708829358,1,0.997,3.29789466975791e-303
"FAM26F",3.24315463464009e-304,0.91272345235559,0.298,0.101,1.21579380943388e-299
"EEF1A1",1.51334604458856e-299,0.390244423573368,0.999,0.997,5.6732316519536e-295
"FAM129C",3.12712189777722e-296,0.800461620576694,0.345,0.127,1.17229545703872e-291
"RPS15",2.44667262855696e-289,0.362308738827769,0.999,0.996,9.17208634993434e-285
"RPL22",2.59489422935754e-284,0.461092944360058,0.985,0.964,9.72773948701553e-280
"CXCR4",6.1585070840247e-284,0.61428668914217,0.935,0.787,2.30870113565918e-279
"MT-ND4",1.55777292072733e-282,0.448084565281593,0.994,0.968,5.8397791252226e-278
"NBEAL1",4.78264208798601e-275,1.20218597074176,0.707,0.573,1.79291686594419e-270
"RPS8",8.43189886440027e-274,0.389880358279526,0.999,0.992,3.16095024628637e-269
"RPL5",6.11512411262819e-270,0.418373478391444,0.997,0.979,2.29243772734206e-265
"RPS21",1.09918013654927e-256,0.421345472904302,0.996,0.983,4.12060649589591e-252
"RPS2",7.93994101792633e-249,0.474268904329203,0.98,0.936,2.97652508880022e-244
"PLPP5",5.59277413880668e-239,0.979434214444381,0.454,0.261,2.09661916915585e-234
"RPS29",1.47134433045396e-237,0.480095763389272,0.985,0.944,5.5157756260058e-233
"RPL30",1.95840976173159e-237,0.368880712744412,0.999,0.995,7.34168651477939e-233
"RPL4",2.07586160828212e-236,0.447137780146338,0.975,0.944,7.781989997128e-232
"RPS24",2.96338203193324e-234,0.413808344348415,0.995,0.985,1.11091265613113e-229
"RPS25",1.63446844646318e-233,0.365359496609035,0.999,0.989,6.12729531210119e-229
"RPS15A",4.32759096422901e-233,0.335295400119221,0.998,0.997,1.62232730067017e-228
"RPL19",1.15606609233055e-229,0.332091001238255,0.999,0.995,4.33386056692878e-225
"FOXP1",9.20646055789444e-224,0.744164548575537,0.484,0.267,3.45131793394347e-219
"PCDH9",5.99281453116941e-222,0.473355854853698,0.121,0.022,2.24658631144479e-217
"RPL23",3.50230939711734e-221,0.482833564678028,0.955,0.876,1.31294574679135e-216
"RPS3",2.70474135981838e-211,0.331320004024752,0.999,0.994,1.01395344096871e-206
"RP11-255M2.3",6.00243574218821e-209,0.908074176163447,0.333,0.158,2.25019311103152e-204
"GABPB1-AS1",5.14249269020516e-207,0.823105418659611,0.495,0.297,1.92781765970411e-202
"RPL27A",6.00655757160717e-206,0.441026355679384,0.98,0.923,2.2517383024441e-201
"CD79B",2.01006630839138e-203,0.502404515008945,0.892,0.75,7.53533657689761e-199
"C1orf162",2.83463944857812e-197,0.672754798308871,0.341,0.155,1.06264963648296e-192
"EEF1D",2.90221010454294e-193,0.385016990730592,0.977,0.955,1.08798052399106e-188
"FAU",8.25800905552244e-191,0.303219084259778,0.999,0.993,3.09576243473425e-186
"MT-CO3",8.01622964715985e-187,0.32958337525594,0.997,0.973,3.00512417012728e-182
"RPS12",4.56071412160667e-186,0.323549322646968,0.999,0.996,1.70972050990791e-181
"RPL6",1.66253971687011e-184,0.329374395457122,0.997,0.987,6.23252889060267e-180
"RPL36",1.80488428109072e-183,0.323837349332234,0.998,0.991,6.76615019295288e-179
"EEF2",1.1324832353974e-179,0.403411079947423,0.969,0.926,4.24545315285779e-175
"AES",8.92567790708588e-177,0.813281042554913,0.468,0.297,3.34605813380835e-172
"RPS20",2.53117572976559e-172,0.436680210180351,0.954,0.836,9.48887157574526e-168
"GLTSCR2",1.21668894021503e-163,0.791144703047804,0.64,0.513,4.5611234990781e-159
"ZNF90",4.14049512877984e-163,0.966700940998172,0.486,0.328,1.55218881387699e-158
"RCSD1",9.4554811313233e-162,0.687082884277878,0.593,0.43,3.54467076651048e-157
"RP11-164H13.1",1.08652398639248e-159,0.498413886771661,0.125,0.032,4.07316112018813e-155
"RPL7A",1.6245770636797e-156,0.285426447976312,0.998,0.988,6.09021449632246e-152
"PFDN5",1.34000529209193e-151,0.350467558317148,0.96,0.943,5.02341183899424e-147
"YBX1",4.11654845486946e-151,0.441507254745032,0.86,0.786,1.54321168476146e-146
"RPS28",8.65204448072804e-151,0.271046147748022,0.999,0.997,3.24347843493533e-146
"MT-ND1",8.7093920798526e-148,0.344180655187475,0.971,0.932,3.26497690289514e-143
"PRKCB",1.29433613907761e-146,0.707361231165356,0.422,0.26,4.85220731817415e-142
"BIRC3",2.27723666617376e-146,0.675784941451163,0.494,0.331,8.5369048141522e-142
"LTB",1.49856295790718e-145,0.378102178736181,0.918,0.756,5.61781281660245e-141
"MT-CYB",9.33077325316256e-144,0.296187807362406,0.992,0.962,3.49792027714558e-139
"GNB2L1",2.17018541473964e-142,0.64705877737989,0.661,0.557,8.13559108277595e-138
"TLE1",2.41335668418399e-142,0.605954172073516,0.195,0.077,9.04719153766896e-138
"RP11-166O4.6",2.00808992512398e-140,0.719995461683581,0.236,0.107,7.52792751130478e-136
"BCL7A",1.4650047898733e-138,0.563313610518325,0.221,0.093,5.49200995627702e-134
"APLP2",1.02729562090828e-137,0.613460285668626,0.252,0.119,3.85112582366096e-133
"FCRL1",1.96590875120555e-135,0.58489961994322,0.284,0.14,7.36979872651938e-131
"CD200",3.21372108329873e-135,0.452452920125848,0.138,0.043,1.20475975970703e-130
"HNRNPA1",7.60282462771367e-134,0.374396516347198,0.918,0.838,2.8501468964373e-129
"RPS18",7.5384030216546e-133,0.277896310113038,0.999,0.997,2.82599652475788e-128
"LAPTM5",8.79696308445439e-132,0.353060535043613,0.954,0.852,3.29780552110026e-127
"P2RX5",1.97903832240168e-129,0.618667556741261,0.333,0.185,7.41901886301944e-125
"EIF3E",1.63775843067403e-127,0.475215411934517,0.816,0.743,6.13962880491079e-123
"RPL24",5.25151347355393e-122,0.289328088180707,0.981,0.97,1.9686873709659e-117
"S100A9",2.86928278146665e-120,0.663719419199117,0.274,0.145,1.07563672911622e-115
"TIPIN",8.77544993007114e-118,0.670488861972406,0.277,0.15,3.28974066978507e-113
"PLAC8",4.87754958470049e-116,0.502266951242801,0.545,0.376,1.82849578831252e-111
"SNHG7",4.33089420951448e-114,0.629634294283521,0.489,0.363,1.62356562126279e-109
"SESN1",2.29649073713681e-110,0.483639390310676,0.125,0.042,8.60908447537849e-106
"LTA4H",7.07237667652319e-110,0.671011554254546,0.341,0.213,2.65129256849501e-105
"CLEC2D",7.86347029776407e-109,0.603286486197488,0.453,0.318,2.9478577452258e-104
"CD79A",5.95323756932215e-108,0.268177020154306,0.972,0.93,2.23174969998749e-103
"NACA2",1.50922616966203e-106,0.721539023251666,0.331,0.205,5.65778706482901e-102
"CIRBP",3.10498621821751e-105,0.395912063487699,0.84,0.82,1.16399723348538e-100
"KLF2",3.24734218279409e-103,0.33831800977451,0.582,0.421,1.21736363748585e-98
"STMN3",7.92098212937592e-103,0.433907057845296,0.141,0.053,2.96941778066044e-98
"TPT1",1.72148820303991e-101,0.256198344931736,0.993,0.988,6.45351497555601e-97
"AC090498.1",5.69855857461399e-101,0.764172152096785,0.599,0.504,2.13627563845129e-96
"CTD-3184A7.4",1.32851651369566e-100,0.393850248561096,0.125,0.045,4.9803427065423e-96
"EEF1B2",4.05219507721254e-98,0.26832898814549,0.95,0.933,1.51908689054544e-93
"HINT1",4.24253831444454e-97,0.386218919870732,0.828,0.796,1.59044276331897e-92
"TSPAN13",8.54692453133855e-97,0.627209581645755,0.374,0.252,3.20407106830819e-92
"PABPC1",1.80870452277373e-96,0.30339639575017,0.943,0.907,6.78047151497417e-92
"NAP1L1",8.56132196809438e-94,0.430423840592407,0.74,0.658,3.20946837939922e-89
