"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"cluster","MZB-1","MZB-2","GCB","PB","Plasmablast","DN","Naive","TS","AcB1","AcB2","AcB3","IgM-only","Memory"
"1","TCL1A","RPS8","TXNIP","RPL22","TMSB4X","CD79A","VIM","RGS1","RPL6","TCL1A","RPS26","IGKV2-30","CD38"
"2","PLPP5","RPL3","JCHAIN","RPL11","RPL32","HLA-DRA","CD27","CD27","RPS3A","IGHM","RACK1","ACTB","MZB1"
"3","IGHM","VPREB3","HLA-A","SH3BGRL3","RPL13","CD74","IGHG1","GAPDH","RPL5","IGHD","ATP5F1E","RGS1","PRDX4"
"4","XBP1","RPL13","SARAF","CD52","HLA-DRA","HLA-DQB1","IGHM","IGHA1","RPS4Y1","MZB1","IGHG4","TMSB4X","PLPP5"
"5","IGLC2","TXNIP","VIM","HMGN2","RPL39","HLA-DPB1","LGALS1","IGHG1","MT-CO3","PLPP5","ATP5MG","STK17A","TCL1A"
"6","IGHG1","RPS3A","RPL41","LAPTM5","RPL11","HLA-DRB1","ITGB1","IGHG3","RPL4","JCHAIN","PPIB","TCL1A","IGHD"
"7","MZB1","RPS6","B2M","YBX1","RPS23","HLA-DPA1","TNFRSF13B","ACTG1","PLPP5","GSTP1","ATP5MC2","IGLC3","IGHM"
"8","IGHG3","RPL21","FTL","RPS8","RPS27","CD79B","CRIP1","ACTB","TCL1A","XBP1","RBM3","IGLC2","XBP1"
"9","HOPX","RPL34","MT-ND3","RPL5","CD37","MS4A1","ANXA2","HSPA8","RPS27A","SDF2L1","SELENOH","VPREB3","FKBP11"
"10","CD38","RPS27","MT-ND2","CD53","RPS27A","HLA-DQA1","JCHAIN","TNFRSF13B","RPL3","CD38","MT-CO2","ACTG1","IL4R"
"11","IL4R","RPL10","HLA-C","TXNIP","RPS15","MEF2C","S100A6","IGHG2","RPL7","IL4R","NOP53","MARCKSL1","SDF2L1"
"12","IGLC3","RPLP2","RPL13","RPS27","RPL34","CD37","S100A11","CD99","MT-CYB","DERL3","EEF2","LCK","RRBP1"
"13","FKBP11","RPS27A","S100A6","TPM3","EEF1A1","IGKC","PLP2","LGALS1","GSTP1","SSR4","ATP5F1D","HSPA1B","ISG20"
"14","SDF2L1","EEF1A1","RPS12","CD48","RPL19","HLA-DMA","AIM2","IGHG4","DERL3","NUCB2","ELOB","CHI3L2","NUCB2"
"15","TMSB10","RPS12","CD44","RCSD1","RPS15A","VPREB3","IGHA1","KLF6","RPL21","SEC62","CD27","FKBP2","NANS"
"16","IGHG4","RPL9","RPL11","SELL","RPS25","RPS11","IGHG2","DYNLL1","JCHAIN","FKBP11","ATP5MF","HSP90AA1","SPCS3"
"17","RRBP1","RPS5","KLF2","PTPRC","RPS18","RPS10","SEC11C","S100A11","MZB1","IGLC2","ATP5MPL","CD53","DERL3"
"18","SSR4","TCL1A","JUNB","FCMR","ACTB","RPL21","IGHA2","SRGN","RPL13","PDIA4","JUNB","DERL3","HERPUD1"
"19","NUCB2","RPL13A","LY6E","H3F3A","HLA-DPB1","TNFRSF13C","IGHG4","PRDX1","MARCKSL1","RRBP1","ATP5IF1","TRAC","HMCES"
"20","IGHGP","MZB1","FXYD5","RPS7","RPS3A","IRF8","SRGN","ITGB1","MT-ND3","IGKC","ATP5PF","PRDX1","PDIA4"
"21","TSPO","RPL32","EMP3","CALM2","RPL18A","IGHM","DERL3","AIM2","EIF3L","NACA2","ATP5ME","HSPA1A","FKBP2"
"22","MANF","RPL35A","FTH1","RPS27A","RPL12","LY86","FKBP11","VIM","IGHD","RPS27L","TRIR","FKBP11","MYDGF"
"23","RABAC1","RPL7","RPL30","BCL11A","RPS12","RPS17","CLECL1","TRAC","FCER2","ITM2C","SELENOT","MZB1","MANF"
"24","ABRACL","EEF1B2","RPL34","REL","RPS6","CYBA","HERPUD1","SEC11C","RPL37","UCP2","IGHM","TMEM123","GSTP1"
"25","TNFRSF17","RPS3","PLAC8","TMSB10","RPS8","RPL26","UBE2J1","PKM","NUCB2","HMCES","ATP5MC3","CD38","SSR4"
"26","GLRX","GSTP1","RPL32","RPL31","RPL30","TCL1A","VOPP1","PPP1R15A","MT-ND1","CD79A","ATP5MD","BST2","DNAJB9"
"27","CCDC167","ITM2C","SUB1","CXCR4","RPS14","IGHD","NEAT1","SAMSN1","IL4R","PRDX4","TMED10","IFITM1","SEC11C"
"28","RFTN1","RPS16","IFITM2","NBEAL1","RPL41","HLA-DMB","S100A4","PDIA6","RPS2","NDUFC1","TNFRSF13B","PDIA4","CD72"
"29","SSR3","RPL18A","SELL","EEF1B2","RPS3","CD52","S100A10","CLECL1","RPS8","APLP2","FKBP11","FCER2","ABRACL"
"30","PDIA4","RPS23","MT-CYB","RPL37A","RPS19","BANK1","CD99","ACP5","RPS13","HIST1H1C","MT-CYB","FOS","ITM2C"
"31","DSTN","RPL8","JUN","ARPC2","RPS28","RPL13A","XBP1","FOSB","P2RX5","TNFRSF17","PRDX4","SDF2L1","SEMA4A"
"32","SUB1","IGHA1","MT-ATP6","PTMA","CD52","RPL37A","SEC61B","TMSB4X","PNOC","BCL7A","MT-ND5","TNFRSF17","SEC61B"
"33","HMCES","ITM2B","RPS25","RPL32","RPL35A","LAPTM5","HLA-C","CRIP1","FCRL5","ERLEC1","ATP5MC1","PRDX4","APLP2"
"34","ATP5L","SEC62","S100A4","RPL15","RPL28","CD22","THEMIS2","VOPP1","RPL10A","ABRACL","ITM2C","CYTIP","IGKC"
"35","SEC61G","IGHD","RPL39","RPSA","RPL26","HVCN1","ZBTB38","XBP1","DEF8","IGLC3","CAPG","CD69","IGLV3-1"
"36","TRAC","JCHAIN","CD69","RPL14","RPL14","RPS20","SSR3","SEC61B","HMCES","C1orf162","DERL3","TSPAN13","DEF8"
"37","DEF8","JUN","RPL36","TMA7","RPL18","RPL36A","AL928768.3","IGHA2","UCP2","HM13","HLA-DQA2","PTPN7","BCL7A"
"38","ITGB2","P2RX5","MT-ND4","RPL29","RPS21","CD19","AHNAK","HCST","NACA2","NBEAL1","ATP5PB","NUCB2","SEC61G"
"39","PRDX4","MARCKSL1","RPS28","RPL24","RPS9","RPL27A","IGHG3","FKBP11","RPL22","MANF","TSC22D3","MANF","HSPA5"
