,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13
cluster,MZB-1,MZB-2,GCB,PB,Plasmablast,DN,Naive,TS,AcB1,AcB2,AcB3,IgM-only,Memory
1,CD1C,FCRL4,SLC2A5,SRM,MZB1,TNFRSF25,CD52,CD52,ISG15,JUN,HSPA1A,FGR,RPL11
2,CD69,CCR1,CAPZB,DDOST,FKBP11,LCK,CHI3L2,TXNIP,IFI6,DUSP2,HSPA1B,IGKV3D-20,RPS8
3,LINC01857,ZBED2,STMN1,C1QA,DERL3,CD2,PHACTR1,RPS27,IFI44L,EGR1,DNAJB1,PPP1R14A,RP5-887A10.1
4,GNG11,OSTN-AS1,HMGN2,ZNF593,IGHM,CD247,HLA-DRA,RPS27A,CMPK2,CD69,CXCL8,ARL4D,RPS27
5,RPL41,ACTB,ATPIF1,IFI6,SDF2L1,AAK1,HLA-DRB1,TMSB10,RSAD2,NFKBIA,HSPH1,EEF1A1,RPS27A
6,RPS3,TMSB4X,LAPTM5,HYI,JCHAIN,CD8A,HLA-DQA1,RPL31,PLSCR1,IER2,IL1B,RPL41,RPL32
7,DUSP1,GPR34,SERINC2,TMEM59,MANF,CD8B,HLA-DQB1,RPL37A,HERC5,FOSB,HSPB1,RPL17,RPL14
8,RPL30,DUSP4,PTP4A2,GADD45A,XBP1,MAL,HLA-DPA1,RPL32,LY6E,PPP1R15A,HSP90AA1,CRIP1,RPL35A
9,CD24,GAPDH,CCDC28B,S100A11,SEC11C,ZAP70,CD72,RPL15,IFITM1,JUNB,SERPINH1,RPS15A,RPL9
10,RPS28,TESC,LCK,S100A9,NUCB2,CD28,BTG1,RPSA,IFIT2,KLF6,HSPA6,MT-ND3,RPL34
11,CXCR4,TNFSF11,HDAC1,S100A8,PRDM1,ICOS,HVCN1,RPL29,IFIT3,DUSP1,DNAJB4,HCK,RPS14
12,RPS23,CTSH,MARCKSL1,KCNN3,CHPF,ARL4C,TCL1A,RPL35A,IFIT1,FOS,CACYBP,RPS28,HLA-A
13,RPL11,PFN1,RBBP4,KRTCAP2,PRDX4,TRAT1,IGHD,RPL9,EPSTI1,ZFP36,FAM46A,MACROD2,HLA-B
14,GPR183,ACTG1,PRDX1,SLAMF7,SSR4,TIGIT,CD79B,RPL34,USP18,NR4A2,HSPE1,FXYD1,RPS18
15,B2M,MYL9,RP11-191G24.1,FCER1G,GMPPB,LEF1,FCER2,RPS3A,MX1,TSC22D3,HSPD1,RPS21,EEF1A1
16,H3F3B,ACP5,ACADM,UAP1,TXNDC11,INPP4B,RPL18A,RPL37,MX2,BCL2A1,DNAJA1,RPL37,RPS12
17,KLF6,CAPG,HS2ST1,TOR3A,TNFRSF17,IL7R,RPS19,RPS23,B2M,EIF1,CXCL1,RPL14,TOMM7
18,FTH1,HCK,MTF2,PDIA6,HSP90B1,FYB,RPS9,RPS10,OAS3,NR4A1,HSP90AB1,RPL11,RPL39
19,VPREB3,HLA-DPB1,BCAR3,SDC1,SLAMF7,TMEM173,RPS5,RPL10A,STAT1,CH17-373J23.1,DNAJA4,RPS3,RPL30
20,FAU,HLA-DPA1,LAMTOR5,PREB,FKBP2,ITK,RPL12,RPS4X,IRF7,H3F3B,S100A9,RPS14,RPLP2
21,RPS18,RAB31,CD53,ERLEC1,PDIA4,LCP2,CD79A,RPL36A,EIF2AK2,KDM6B,G0S2,MT-CYB,RPL27A
22,RPS8,ARPC2,ATP5F1,MTHFD2,TRIB1,FYN,TMSB4X,RPL39,ISG20,NFKBID,ZNF90,TUBB6,MALAT1
23,RPL3,GSN,CAPZA1,GNLY,CRELD2,TNFAIP3,CD74,RPL10,SAMD9L,CD83,CD83,MTSS1,RPS3
24,RPL14,ENTPD1,RP11-126K1.6,LINC00152,SLC35B1,TRBC1,CD69,RPL7,OAS1,JUND,TCL1A,RPL12,RPS25
25,CD83,TNFRSF13B,SEMA4A,IGKC,MYDGF,GIMAP7,C1orf162,RPL8,IFITM2,B2M,S100A8,RPL10,RPL41
26,TNFRSF13B,HLA-DQA1,FCRLA,IGKV1-12,ANKRD28,GIMAP4,RPSA,RPS6,TNFSF10,UBC,FKBP4,EMP3,RPS29
27,RPL19,MS4A1,PRDX6,IGKV4-1,HM13,GIMAP1,RPL13,RPL35,IFI44,EGR2,HSPA8,S100A6,B2M
28,ABI3,CLECL1,RGS16,IGKV1-5,DNAJC3,ITM2A,RPL15,RPL12,XAF1,TUBA1A,NBEAL1,RPS12,RPLP1
29,JUNB,CLIC1,ARPC5,IGKV3-11,TXNDC15,SH2D1A,ACTB,RPLP2,GBP1,IER5,RPL37A,RPS27,RPS15A
30,RPL7A,CCDC50,RGS13,IGKV3-15,IFI27L1,CD40LG,CXCR4,RPS13,TRIM22,KLF2,CHORDC1,RPL19,TNFRSF13B
31,ARHGAP24,HLA-DQB1,LYPLAL1,IGKV3-20,SSR3,LEPROTL1,RPL26,YBX3,PSMB9,TNF,LNPEP,RPL39,RPL38
32,RPL36,CD99,BPNT1,IGKV1-39,LMAN1,LINC00861,VPREB3,BTG1,TYMP,DDX5,FCER2,SEMA4B,RPS21
33,EEF1A1,C12orf75,LBR,MIR4435-2HG,PYCR1,ANXA1,RPL35,RPL21,BST2,PNRC1,CHI3L2,PPDPF,RPL36
34,NR4A2,MIR155HG,H3F3A,ITGA6,HSPA5,CD6,CD83,TCL1A,NEXN,CTD-3252C9.4,EBLN3,EEF2,RPS28
35,RPS21,GPR82,PARP1,PDK1,HERPUD1,CD5,HLA-DPB1,IGHD,UBE2L6,CXCR4,IL4R,FTL,RPL27
36,PFDN5,CALM2,ODC1,CHPF,SEC61A1,CD3E,RPL34,IGHM,OASL,MCL1,GGA2,RPL3,RPS23
37,RPS4Y1,SH3BGRL3,MIR3681HG,ITM2C,SLC38A5,CD3D,SPRY1,LINC00926,MT2A,SERTAD1,TAF1A,AES,HLA-E
38,RACK1,FTH1,RASGRP3,HDLBP,RRBP1,CD3G,RPS3A,RPS17,HLA-A,CSRNP1,RPL37,CDKN2D,RPS6
39,RPS15A,ARPC5,QPCT,SEC13,SPCS3,GATA3,CD22,IL4R,PARP9,HLA-DQB1,IER5,RPS3A,RPL23A
40,NAPSA,CFL1,MTA3,ANKRD28,SIL1,SRGN,RPL10A,RPL13,HLA-B,TNFRSF13B,AHSA1,MT-ND1,RPL13A
41,RGS2,HCST,EML6,GMPPB,DNAJC1,SPOCK2,RPL10,RPL26,NT5C3A,ZFP36L1,TSC22D1,RPL13,RPL13
42,RPL8,LSP1,CCDC88A,MANF,HIST1H1C,CD4,TMSB10,RPL23A,MYL12A,HLA-E,RPS20,RPS4X,RPL31
43,TSC22D3,CCR6,AC074289.1,SPCS1,CD38,KLRB1,RPLP0,RPL27,MNDA,YPEL5,UBB,MT-ND4,AIM2
44,HLA-E,COTL1,SPRED2,ARF4,ALG5,TRAC,RPS27A,RPL38,OAS2,ZBTB10,ATP5E,PCDH9,HLA-DRA
45,RPL28,S100A11,LIMS1,SEC61A1,HDLBP,PRKCH,NCF1,RPL17,DDX60,RP11-160E2.6,RPL38,RPL36A,RPS20
46,SMIM14,RGS1,RANBP2,RPN1,MEI1,TC2N,HLA-DRB5,FCER2,RNF213,HLA-A,CXCL3,MT-CO2,RPL21
47,RPS12,ITGAX,ACTR3,H1FX,ERLEC1,BCL11B,RPL7,RPL18A,PPM1K,PMAIP1,RPS17,RPL36,RPL19
48,CD37,CD82,DBI,SRPRB,CREB3L2,IL32,HLA-DMB,UBA52,CXCL10,DDX3X,DEDD2,RPL4,RPS7
49,MT-ATP6,CD86,IMP4,SSR3,HIST1H2BC,LAT,HLA-DMA,RPS16,HELZ2,TCOF1,RPS11,RPL9,CLECL1
50,RAC2,HLA-DRA,PTPN18,FNDC3B,CCPG1,MAF,MS4A1,RPS19,HLA-E,BTG2,GLTSCR2,RPL30,RPS16
51,RPS13,RAC2,DHRS9,DNAJB11,CKAP4,SLFN5,RPL3,RPL18,SAT1,HLA-DRB5,IFI44L,RPL23A,RPL3
52,MT-ND3,SCPEP1,CDCA7,CD38,CCDC88A,CD7,MEF2C,CD37,TAP1,CYCS,HLA-DMB,JUNB,RPS3A
53,ZFP36,SEMA7A,ATP5G3,JCHAIN,CALU,SIRPG,RPS17,RPL13A,GBP4,SAT1,GCNT1,RPL6,MT-CYB
54,ZFP36L1,CD19,DNAJC10,RASSF6,IGLV6-57,CST7,RPS6,RPS11,SAMD9,HLA-DRA,CCL3,MPP6,RPS15
55,RPL5,MYL12A,AC079767.4,CXCL8,HYOU1,GZMM,RPS8,RPS9,DRAP1,RP1-313I6.12,RPL28,RPL13A,EEF1B2
56,MT-CO2,CAPZB,ARPC2,CXCL13,KDELR2,HCST,FOS,RPS5,NMI,ADGRE5,NACA2,RPL8,RPL37
57,ATP5MC2,NCR3,MTMR14,CISD2,GMPPA,IL2RB,LAIR1,RPL3,TMSB4X,MT-CO1,XAF1,RPS13,HLA-DPA1
58,RGS19,B2M,OGG1,OSTC,CHST2,FYB1,RPS23,MT-ND2,C19orf66,LDLRAD4,AC090498.1,MT-CO3,BANK1
59,TOMM7,FCRL5,CAMK1,SPCS3,SEC61B,SH2D2A,ABCB4,MT-ND3,DHX58,GPR183,RP11-255M2.3,CD52,HLA-DPB1
60,MTRNR2L8,HOPX,ARPC4,CLPTM1L,MIR4435-2HG,RARRES3,LYL1,RPL11,IFI35,CCNL1,STAG3,RPS8,TPT1
61,HLA-A,RUNX3,BRK1,SUB1,HSD17B8,RORA,RPS4Y1,FAM26F,DDX60L,HLA-DQA1,CD200,MT-ND2,LINC01781
62,NCF1,ATP6V0E1,VGLL4,GZMA,RPN1,OXNAD1,MARCKSL1,EEF1A1,CACNA1A,YWHAZ,MYLIP,PLAC8,CD24
63,SLC2A3,PKIG,RFTN1,GLRX,SRPRB,GZMK,CORO1A,FAM129C,RABGAP1L,BTG1,DDIT3,RPS15,MS4A1
64,EEF1B2,MYL6,CAMP,ELL2,DNAJB9,TBC1D4,RPL31,RPS15,IFI16,CD74,PLAUR,RPS29,MT-CO3
65,ZFP36L2,PTPN1,RBM6,FAM174A,P4HB,FLT3LG,TSPAN13,RPL22,HERC6,NFKBIZ,GADD45B,RPS16,RPL22
66,RPL29,FUT7,PRKCD,UQCRQ,ARSA,CTSW,RPL23,CXCR4,HLA-C,HSPA8,RPL31,RPL18,ITGB1
67,CD44,VIM,TKT,SAR1B,ZBP1,NKG7,RPL18,MT-ND4,PARP14,NEAT1,MALAT1,RPL27,PFDN5
68,CR2,OAZ1,C3orf67,TXNDC15,HIST1H2BG,ID2,RPS27,NBEAL1,IFIT5,CLECL1,CD48,RPS25,HLA-C
69,BANK1,SUB1,LINC00877,SIL1,PDXK,CAMK4,RPS18,RPS8,DDX58,MALAT1,RP11-231C14.7,RPLP2,MT-ND2
70,PPP1R15A,PLD4,GCSAM,MZB1,GUSB,GPR171,RPL32,RPL5,SELL,LMNA,CLK1,SLC25A6,UBC
71,CD19,MYO1F,HMCES,ATOX1,SELENOS,CTLA4,RPL29,RPS21,TMSB10,CD44,CD79B,RPS7,RPS13
72,SMARCB1,LIMK1,MBD4,CPEB4,ITM2C,GIMAP6,HNRNPA1,RPS2,PSME2,IDS,CWF19L2,RPL29,UBA52
73,FCRL2,DOK1,BFSP2,LMAN2,UAP1,JAML,COL19A1,PLPP5,PSME1,RSRP1,ATP5G2,RPS27A,RPL5
74,LINC01781,CMTM6,SELT,TMED9,PPIB,LINC01550,FCMR,RPS29,IFIH1,HSP90AB1,MRPL18,RPL34,TXNIP
75,SIDT1,ARPC3,SIAH2,LTC4S,SEC24D,CCL5,RPL9,RPL30,SP110,YME1L1,MUM1,RPS24,SCIMP
76,RALGPS2,HLA-DRB1,MED12L,MGAT1,KCNN3,GZMA,RPL39,RPL4,SLFN5,GADD45B,PMAIP1,EEF1B2,MT-ND1
77,NACA,GPR137B,IGSF10,IRF4,KDELR1,S100A4,RPS2,RPS24,ADAR,TUBB4B,NHSL2,TOMM7,HSPA8
78,TGIF1,GRN,MME,SSR1,TMEM208,IPCEF1,RPL37,RPS25,XIST,ATF3,HLA-DQA1,RPL18A,LTB
